time,vehicle_id,start_node,end_node,route_nodes,route_names,real_distance,cost,objectives,total_real_distance
00:00 ~ 00:59,0,14,14,14 -> 15 -> 8 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,80441,56251,92251,80441
01:00 ~ 01:59,0,14,14,14 -> 15 -> 8 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,80441,56229,92229,80441
02:00 ~ 02:59,0,14,14,14 -> 15 -> 8 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,80441,56147,92147,80441
03:00 ~ 03:59,0,14,14,14 -> 15 -> 8 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,80441,55923,91923,80441
04:00 ~ 04:59,0,14,14,14 -> 15 -> 8 -> 3 -> 13 -> 12 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 경기 부천시 오정동 -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,100404,73072,91072,100404
05:00 ~ 05:59,0,14,14,14 -> 15 -> 8 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,80441,55334,91334,80441
06:00 ~ 06:59,0,14,14,14 -> 15 -> 8 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,80441,56289,92289,80441
07:00 ~ 07:59,0,14,14,14 -> 15 -> 8 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,80441,55070,91070,80441
08:00 ~ 08:59,0,14,14,14 -> 19 -> 13 -> 12 -> 3 -> 15 -> 8 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> Depot_Incheon_Airport -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 경기 부천시 오정동 -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,146777,77711,89711,146777
09:00 ~ 09:59,0,14,14,14 -> 15 -> 3 -> 13 -> 12 -> 2 -> 8 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> Depot_Gimpo_Airport -> 경기 부천시 오정동 -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 서울 양천구 목동 -> 서울 강서구 등촌동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,100284,72676,90676,100284
10:00 ~ 10:59,0,14,14,14 -> 15 -> 3 -> 13 -> 12 -> 2 -> 8 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> Depot_Gimpo_Airport -> 경기 부천시 오정동 -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 서울 양천구 목동 -> 서울 강서구 등촌동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,100284,74275,92275,100284
11:00 ~ 11:59,0,14,14,14 -> 15 -> 3 -> 13 -> 12 -> 2 -> 8 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 0 -> 10 -> 14,Depot_Bundang_Townhall -> Depot_Gimpo_Airport -> 경기 부천시 오정동 -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 서울 양천구 목동 -> 서울 강서구 등촌동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall,100284,69242,87242,100284
12:00 ~ 12:59,0,14,14,14 -> 19 -> 13 -> 12 -> 3 -> 15 -> 8 -> 2 -> 9 -> 17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 10 -> 0 -> 14,Depot_Bundang_Townhall -> Depot_Incheon_Airport -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 경기 부천시 오정동 -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 야탑동 -> 경기 성남시 분당구 서현동 -> Depot_Bundang_Townhall,147373,73255,85255,147373
