time,vehicle_id,start_node,end_node,route_nodes,route_names,real_distance,cost
11:00 ~ 11:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0
12:00 ~ 12:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0
13:00 ~ 13:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0
14:00 ~ 14:59,0,25,25,25 -> 15 -> 21 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 16 -> 22 -> 5 -> 19 -> 25,Depot_Incheon_Airport -> Gimpo_Airport -> Depot_Gimpo_Airport -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Beom_Gye -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Incheon_Airport -> Depot_Incheon_Airport,109197,31067
15:00 ~ 15:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0
16:00 ~ 16:59,0,25,25,25 -> 15 -> 21 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 19 -> 25,Depot_Incheon_Airport -> Gimpo_Airport -> Depot_Gimpo_Airport -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Incheon_Airport -> Depot_Incheon_Airport,83618,22126
17:00 ~ 17:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0
18:00 ~ 18:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0
19:00 ~ 19:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0
20:00 ~ 20:59,0,25,25,25 -> 15 -> 21 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 19 -> 25,Depot_Incheon_Airport -> Gimpo_Airport -> Depot_Gimpo_Airport -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Incheon_Airport -> Depot_Incheon_Airport,86331,24034
21:00 ~ 21:59,0,25,25,25 -> 15 -> 21 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 19 -> 25,Depot_Incheon_Airport -> Gimpo_Airport -> Depot_Gimpo_Airport -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Incheon_Airport -> Depot_Incheon_Airport,86331,24636
22:00 ~ 22:59,0,25,25,25 -> 15 -> 21 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 19 -> 25,Depot_Incheon_Airport -> Gimpo_Airport -> Depot_Gimpo_Airport -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Incheon_Airport -> Depot_Incheon_Airport,83618,22980
23:00 ~ 23:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0
