time,vehicle_id,step,from_node,from_name,to_node,to_name,real_distance,cost,efficiency
00:00 ~ 00:59,0,0,25,Depot_Incheon_Airport,15,Gimpo_Airport,34348,9233,0.26880749970886225
00:00 ~ 00:59,0,1,15,Gimpo_Airport,21,Depot_Gimpo_Airport,0,0,0.26880749970886225
00:00 ~ 00:59,0,2,21,Depot_Gimpo_Airport,2,서울 양천구 목동,3771,3512,0.3343477006217372
00:00 ~ 00:59,0,3,2,서울 양천구 목동,1,서울 강서구 화곡동,3929,3375,0.3833713850837139
00:00 ~ 00:59,0,4,1,서울 강서구 화곡동,7,서울 구로구 구로동,1054,1025,0.3977773653194747
00:00 ~ 00:59,0,5,7,서울 구로구 구로동,6,서울 양천구 신정동,950,916,0.4099927358576228
00:00 ~ 00:59,0,6,6,서울 양천구 신정동,17,Kintex,97,94,0.4112210922104691
00:00 ~ 00:59,0,7,17,Kintex,23,Depot_Kintex,0,0,0.4112210922104691
00:00 ~ 00:59,0,8,23,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,0.4293930413785534
00:00 ~ 00:59,0,9,9,서울 양천구 목동_1,19,Incheon_Airport,39594,3190,0.26719045437996924
00:00 ~ 00:59,0,10,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.26719045437996924
01:00 ~ 01:59,0,0,25,Depot_Incheon_Airport,15,Gimpo_Airport,34348,10304,0.29998835448934436
01:00 ~ 01:59,0,1,15,Gimpo_Airport,21,Depot_Gimpo_Airport,0,0,0.29998835448934436
01:00 ~ 01:59,0,2,21,Depot_Gimpo_Airport,2,서울 양천구 목동,3771,3404,0.3596106928303471
01:00 ~ 01:59,0,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.4176070619110104
01:00 ~ 01:59,0,4,9,서울 양천구 목동_1,17,Kintex,1406,1356,0.43535467786985527
01:00 ~ 01:59,0,5,17,Kintex,23,Depot_Kintex,0,0,0.43535467786985527
01:00 ~ 01:59,0,6,23,Depot_Kintex,6,서울 양천구 신정동,97,93,0.4365240222949007
01:00 ~ 01:59,0,7,6,서울 양천구 신정동,7,서울 구로구 구로동,950,950,0.4485890732059142
01:00 ~ 01:59,0,8,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,997,0.4601294526881247
01:00 ~ 01:59,0,9,1,서울 강서구 화곡동,19,Incheon_Airport,38196,3489,0.2916716496448133
01:00 ~ 01:59,0,10,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.2916716496448133
02:00 ~ 02:59,0,0,25,Depot_Incheon_Airport,15,Gimpo_Airport,34348,10304,0.29998835448934436
02:00 ~ 02:59,0,1,15,Gimpo_Airport,21,Depot_Gimpo_Airport,0,0,0.29998835448934436
02:00 ~ 02:59,0,2,21,Depot_Gimpo_Airport,2,서울 양천구 목동,3771,3396,0.35940082373619453
02:00 ~ 02:59,0,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.41741619945127045
02:00 ~ 02:59,0,4,9,서울 양천구 목동_1,17,Kintex,1406,1359,0.4352392604048845
02:00 ~ 02:59,0,5,17,Kintex,23,Depot_Kintex,0,0,0.4352392604048845
02:00 ~ 02:59,0,6,23,Depot_Kintex,6,서울 양천구 신정동,97,93,0.43640886268367957
02:00 ~ 02:59,0,7,6,서울 양천구 신정동,7,서울 구로구 구로동,950,950,0.4484763793725207
02:00 ~ 02:59,0,8,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1016,0.4604376733741359
02:00 ~ 02:59,0,9,1,서울 강서구 화곡동,19,Incheon_Airport,38196,3458,0.29146834413642997
02:00 ~ 02:59,0,10,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.29146834413642997
03:00 ~ 03:59,0,0,25,Depot_Incheon_Airport,15,Gimpo_Airport,34348,10304,0.29998835448934436
03:00 ~ 03:59,0,1,15,Gimpo_Airport,21,Depot_Gimpo_Airport,0,0,0.29998835448934436
03:00 ~ 03:59,0,2,21,Depot_Gimpo_Airport,2,서울 양천구 목동,3771,3295,0.35675122642251894
03:00 ~ 03:59,0,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.41500656089705357
03:00 ~ 03:59,0,4,9,서울 양천구 목동_1,17,Kintex,1406,1367,0.4330924955564276
03:00 ~ 03:59,0,5,17,Kintex,23,Depot_Kintex,0,0,0.4330924955564276
03:00 ~ 03:59,0,6,23,Depot_Kintex,6,서울 양천구 신정동,97,90,0.43419779814823345
03:00 ~ 03:59,0,7,6,서울 양천구 신정동,7,서울 구로구 구로동,950,950,0.44631265777136675
03:00 ~ 03:59,0,8,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1011,0.45821408128219804
03:00 ~ 03:59,0,9,1,서울 강서구 화곡동,19,Incheon_Airport,38196,3271,0.28802410964146474
03:00 ~ 03:59,0,10,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.28802410964146474
04:00 ~ 04:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0
04:00 ~ 04:59,0,1,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.0
