time,vehicle_id,step,from_node,from_name,to_node,to_name,real_distance,cost,efficiency
05:00 ~ 05:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0
05:00 ~ 05:59,0,1,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.0
06:00 ~ 06:59,0,0,25,Depot_Incheon_Airport,15,Gimpo_Airport,34348,10304,0.29998835448934436
06:00 ~ 06:59,0,1,15,Gimpo_Airport,21,Depot_Gimpo_Airport,0,0,0.29998835448934436
06:00 ~ 06:59,0,2,21,Depot_Gimpo_Airport,2,서울 양천구 목동,3771,3637,0.36572313019753927
06:00 ~ 06:59,0,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.4231659310509364
06:00 ~ 06:59,0,4,9,서울 양천구 목동_1,17,Kintex,1406,1359,0.440802382216477
06:00 ~ 06:59,0,5,17,Kintex,23,Depot_Kintex,0,0,0.440802382216477
06:00 ~ 06:59,0,6,23,Depot_Kintex,6,서울 양천구 신정동,97,94,0.44198258786678335
06:00 ~ 06:59,0,7,6,서울 양천구 신정동,7,서울 구로구 구로동,950,918,0.4532095203750451
06:00 ~ 06:59,0,8,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1002,0.46475276297829243
06:00 ~ 06:59,0,9,1,서울 강서구 화곡동,18,Gwang_Myeong,3359,3002,0.49429080994649555
06:00 ~ 06:59,0,10,18,Gwang_Myeong,24,Depot_Gwang_Myeong,0,0,0.49429080994649555
06:00 ~ 06:59,0,11,24,Depot_Gwang_Myeong,19,Incheon_Airport,37550,1846,0.3006799411567108
06:00 ~ 06:59,0,12,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.3006799411567108
07:00 ~ 07:59,0,0,25,Depot_Incheon_Airport,15,Gimpo_Airport,34348,9938,0.2893327122394317
07:00 ~ 07:59,0,1,15,Gimpo_Airport,21,Depot_Gimpo_Airport,0,0,0.2893327122394317
07:00 ~ 07:59,0,2,21,Depot_Gimpo_Airport,2,서울 양천구 목동,3771,2494,0.32613657231301973
07:00 ~ 07:59,0,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.3871644995824884
07:00 ~ 07:59,0,4,9,서울 양천구 목동_1,17,Kintex,1406,1359,0.40596939128828974
07:00 ~ 07:59,0,5,17,Kintex,23,Depot_Kintex,0,0,0.40596939128828974
07:00 ~ 07:59,0,6,23,Depot_Kintex,6,서울 양천구 신정동,97,94,0.4072274172002395
07:00 ~ 07:59,0,7,6,서울 양천구 신정동,7,서울 구로구 구로동,950,906,0.4189280562567616
07:00 ~ 07:59,0,8,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1011,0.4314649288890846
07:00 ~ 07:59,0,9,1,서울 강서구 화곡동,18,Gwang_Myeong,3359,2665,0.45638670793956665
07:00 ~ 07:59,0,10,18,Gwang_Myeong,24,Depot_Gwang_Myeong,0,0,0.45638670793956665
07:00 ~ 07:59,0,11,24,Depot_Gwang_Myeong,19,Incheon_Airport,37550,1611,0.2765402925947806
07:00 ~ 07:59,0,12,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.2765402925947806
08:00 ~ 08:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0
08:00 ~ 08:59,0,1,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.0
09:00 ~ 09:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0
09:00 ~ 09:59,0,1,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.0
10:00 ~ 10:59,0,0,25,Depot_Incheon_Airport,15,Gimpo_Airport,34348,9674,0.28164667520670783
10:00 ~ 10:59,0,1,15,Gimpo_Airport,21,Depot_Gimpo_Airport,0,0,0.28164667520670783
10:00 ~ 10:59,0,2,21,Depot_Gimpo_Airport,2,서울 양천구 목동,3771,3647,0.3494582754007188
10:00 ~ 10:59,0,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.4083740904210903
10:00 ~ 10:59,0,4,9,서울 양천구 목동_1,17,Kintex,1406,1316,0.425498026361349
10:00 ~ 10:59,0,5,17,Kintex,23,Depot_Kintex,0,0,0.425498026361349
10:00 ~ 10:59,0,6,23,Depot_Kintex,6,서울 양천구 신정동,97,88,0.4265742318853932
10:00 ~ 10:59,0,7,6,서울 양천구 신정동,7,서울 구로구 구로동,950,918,0.43813108546700325
10:00 ~ 10:59,0,8,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1019,0.4503984853154859
10:00 ~ 10:59,0,9,1,서울 강서구 화곡동,18,Gwang_Myeong,3359,2358,0.4677230889075665
10:00 ~ 10:59,0,10,18,Gwang_Myeong,24,Depot_Gwang_Myeong,0,0,0.4677230889075665
10:00 ~ 10:59,0,11,24,Depot_Gwang_Myeong,19,Incheon_Airport,37550,1333,0.2797257068723865
10:00 ~ 10:59,0,12,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.2797257068723865
11:00 ~ 11:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0
11:00 ~ 11:59,0,1,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.0
12:00 ~ 12:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0
12:00 ~ 12:59,0,1,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.0
13:00 ~ 13:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0
13:00 ~ 13:59,0,1,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.0
14:00 ~ 14:59,0,0,25,Depot_Incheon_Airport,15,Gimpo_Airport,34348,9752,0.2839175497845581
14:00 ~ 14:59,0,1,15,Gimpo_Airport,21,Depot_Gimpo_Airport,0,0,0.2839175497845581
14:00 ~ 14:59,0,2,21,Depot_Gimpo_Airport,2,서울 양천구 목동,3771,3657,0.35176683543639653
14:00 ~ 14:59,0,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.41047357747822977
14:00 ~ 14:59,0,4,9,서울 양천구 목동_1,17,Kintex,1406,1367,0.4287066318875372
14:00 ~ 14:59,0,5,17,Kintex,23,Depot_Kintex,0,0,0.4287066318875372
14:00 ~ 14:59,0,6,23,Depot_Kintex,6,서울 양천구 신정동,97,84,0.4296835413883643
14:00 ~ 14:59,0,7,6,서울 양천구 신정동,7,서울 구로구 구로동,950,913,0.4410611251352326
14:00 ~ 14:59,0,8,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1025,0.45339262912245165
14:00 ~ 14:59,0,9,1,서울 강서구 화곡동,18,Gwang_Myeong,3359,2298,0.46928107254873824
14:00 ~ 14:59,0,10,18,Gwang_Myeong,24,Depot_Gwang_Myeong,0,0,0.46928107254873824
14:00 ~ 14:59,0,11,24,Depot_Gwang_Myeong,16,Beom_Gye,11482,5045,0.4635846207457312
14:00 ~ 14:59,0,12,16,Beom_Gye,22,Depot_Beom_Gye,0,0,0.4635846207457312
14:00 ~ 14:59,0,13,22,Depot_Beom_Gye,5,경기 안양시 동안구 평촌동,1560,1380,0.47420862785694645
14:00 ~ 14:59,0,14,5,경기 안양시 동안구 평촌동,19,Incheon_Airport,47374,1750,0.28450415304449755
14:00 ~ 14:59,0,15,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.28450415304449755
15:00 ~ 15:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0
15:00 ~ 15:59,0,1,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.0
16:00 ~ 16:59,0,0,25,Depot_Incheon_Airport,15,Gimpo_Airport,34348,9993,0.2909339699545825
16:00 ~ 16:59,0,1,15,Gimpo_Airport,21,Depot_Gimpo_Airport,0,0,0.2909339699545825
16:00 ~ 16:59,0,2,21,Depot_Gimpo_Airport,2,서울 양천구 목동,3771,3667,0.35835147826543196
16:00 ~ 16:59,0,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.41646188715257065
16:00 ~ 16:59,0,4,9,서울 양천구 목동_1,17,Kintex,1406,1363,0.4344082546570947
16:00 ~ 16:59,0,5,17,Kintex,23,Depot_Kintex,0,0,0.4344082546570947
16:00 ~ 16:59,0,6,23,Depot_Kintex,6,서울 양천구 신정동,97,94,0.4356027454051315
16:00 ~ 16:59,0,7,6,서울 양천구 신정동,7,서울 구로구 구로동,950,918,0.4469662820050487
16:00 ~ 16:59,0,8,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1022,0.4590947118136586
16:00 ~ 16:59,0,9,1,서울 강서구 화곡동,19,Incheon_Airport,38196,1273,0.2646080987347222
16:00 ~ 16:59,0,10,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.2646080987347222
17:00 ~ 17:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0
17:00 ~ 17:59,0,1,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.0
18:00 ~ 18:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0
18:00 ~ 18:59,0,1,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.0
19:00 ~ 19:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0
19:00 ~ 19:59,0,1,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.0
20:00 ~ 20:59,0,0,25,Depot_Incheon_Airport,15,Gimpo_Airport,34348,10020,0.2917200419238384
20:00 ~ 20:59,0,1,15,Gimpo_Airport,21,Depot_Gimpo_Airport,0,0,0.2917200419238384
20:00 ~ 20:59,0,2,21,Depot_Gimpo_Airport,2,서울 양천구 목동,3771,2888,0.33862378341509486
20:00 ~ 20:59,0,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.3985208159370154
20:00 ~ 20:59,0,4,9,서울 양천구 목동_1,17,Kintex,1406,1316,0.415964543754761
20:00 ~ 20:59,0,5,17,Kintex,23,Depot_Kintex,0,0,0.415964543754761
20:00 ~ 20:59,0,6,23,Depot_Kintex,6,서울 양천구 신정동,97,85,0.4169929522317933
20:00 ~ 20:59,0,7,6,서울 양천구 신정동,7,서울 구로구 구로동,950,923,0.42886765236206276
20:00 ~ 20:59,0,8,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,997,0.4408656598124257
20:00 ~ 20:59,0,9,1,서울 강서구 화곡동,18,Gwang_Myeong,3359,2665,0.4651401160287817
20:00 ~ 20:59,0,10,18,Gwang_Myeong,24,Depot_Gwang_Myeong,0,0,0.4651401160287817
20:00 ~ 20:59,0,11,24,Depot_Gwang_Myeong,19,Incheon_Airport,37550,1344,0.27839362453811495
20:00 ~ 20:59,0,12,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.27839362453811495
21:00 ~ 21:59,0,0,25,Depot_Incheon_Airport,15,Gimpo_Airport,34348,10304,0.29998835448934436
21:00 ~ 21:59,0,1,15,Gimpo_Airport,21,Depot_Gimpo_Airport,0,0,0.29998835448934436
21:00 ~ 21:59,0,2,21,Depot_Gimpo_Airport,2,서울 양천구 목동,3771,3068,0.3507961908759411
21:00 ~ 21:59,0,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.40959083860193246
21:00 ~ 21:59,0,4,9,서울 양천구 목동_1,17,Kintex,1406,1320,0.4267676184760278
21:00 ~ 21:59,0,5,17,Kintex,23,Depot_Kintex,0,0,0.4267676184760278
21:00 ~ 21:59,0,6,23,Depot_Kintex,6,서울 양천구 신정동,97,85,0.42777189184209313
21:00 ~ 21:59,0,7,6,서울 양천구 신정동,7,서울 구로구 구로동,950,911,0.4391453299675442
21:00 ~ 21:59,0,8,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1022,0.4514552419532385
21:00 ~ 21:59,0,9,1,서울 강서구 화곡동,18,Gwang_Myeong,3359,2683,0.4753695086201595
21:00 ~ 21:59,0,10,18,Gwang_Myeong,24,Depot_Gwang_Myeong,0,0,0.4753695086201595
21:00 ~ 21:59,0,11,24,Depot_Gwang_Myeong,19,Incheon_Airport,37550,1447,0.2853667859749105
21:00 ~ 21:59,0,12,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.2853667859749105
22:00 ~ 22:59,0,0,25,Depot_Incheon_Airport,15,Gimpo_Airport,34348,10304,0.29998835448934436
22:00 ~ 22:59,0,1,15,Gimpo_Airport,21,Depot_Gimpo_Airport,0,0,0.29998835448934436
22:00 ~ 22:59,0,2,21,Depot_Gimpo_Airport,2,서울 양천구 목동,3771,3231,0.3550722736692988
22:00 ~ 22:59,0,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.413479661219134
22:00 ~ 22:59,0,4,9,서울 양천구 목동_1,17,Kintex,1406,1348,0.43117656563791235
22:00 ~ 22:59,0,5,17,Kintex,23,Depot_Kintex,0,0,0.43117656563791235
22:00 ~ 22:59,0,6,23,Depot_Kintex,6,서울 양천구 신정동,97,90,0.4322861486019623
22:00 ~ 22:59,0,7,6,서울 양천구 신정동,7,서울 구로구 구로동,950,923,0.44383339343671113
22:00 ~ 22:59,0,8,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1013,0.45583637884725464
22:00 ~ 22:59,0,9,1,서울 강서구 화곡동,19,Incheon_Airport,38196,2275,0.27482121074409815
22:00 ~ 22:59,0,10,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.27482121074409815
23:00 ~ 23:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0
23:00 ~ 23:59,0,1,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.0
