base_cell,time,outgoing_cell,outgoing_count,outgoing_time,outgoing_speed,NAME
8830e024d1fffff,6:20:00,8830e024dbfffff,10,80.7,34.7,경기 성남시 분당구 서현동
8830e024d1fffff,6:40:00,8830e024dbfffff,11,194.36,29.48,경기 성남시 분당구 서현동
8830e024d1fffff,7:00:00,8830e024dbfffff,31,90.52,21.61,경기 성남시 분당구 서현동
8830e024d1fffff,7:20:00,8830e024dbfffff,15,64.07,17.9,경기 성남시 분당구 서현동
8830e024d1fffff,7:40:00,8830e024dbfffff,16,87.19,22.41,경기 성남시 분당구 서현동
8830e024d1fffff,8:00:00,8830e024dbfffff,17,65.41,19.51,경기 성남시 분당구 서현동
8830e024d1fffff,8:00:00,8830e15361fffff,11,70.82,17.04,경기 성남시 분당구 야탑동
8830e024d1fffff,8:20:00,8830e024dbfffff,18,64.39,21.17,경기 성남시 분당구 서현동
8830e024d1fffff,8:40:00,8830e024dbfffff,16,62.0,19.58,경기 성남시 분당구 서현동
8830e024d1fffff,8:40:00,8830e15361fffff,10,43.4,18.55,경기 성남시 분당구 야탑동
8830e024d1fffff,9:00:00,8830e024dbfffff,20,69.5,29.06,경기 성남시 분당구 서현동
8830e024d1fffff,9:00:00,8830e15361fffff,13,170.31,19.44,경기 성남시 분당구 야탑동
8830e024d1fffff,9:20:00,8830e024dbfffff,27,85.37,22.25,경기 성남시 분당구 서현동
8830e024d1fffff,9:40:00,8830e024dbfffff,28,50.61,29.15,경기 성남시 분당구 서현동
8830e024d1fffff,10:00:00,8830e024dbfffff,24,89.29,34.58,경기 성남시 분당구 서현동
8830e024d1fffff,10:00:00,8830e15361fffff,12,66.25,17.52,경기 성남시 분당구 야탑동
8830e024d1fffff,10:20:00,8830e024dbfffff,41,67.56,25.43,경기 성남시 분당구 서현동
8830e024d1fffff,10:20:00,8830e15361fffff,11,55.91,25.35,경기 성남시 분당구 야탑동
8830e024d1fffff,10:40:00,8830e024dbfffff,32,58.09,21.69,경기 성남시 분당구 서현동
8830e024d1fffff,11:00:00,8830e024dbfffff,43,71.4,25.13,경기 성남시 분당구 서현동
8830e024d1fffff,11:20:00,8830e024dbfffff,32,70.56,22.23,경기 성남시 분당구 서현동
8830e024d1fffff,11:20:00,8830e15361fffff,15,58.93,20.19,경기 성남시 분당구 야탑동
8830e024d1fffff,11:40:00,8830e024dbfffff,34,68.12,30.25,경기 성남시 분당구 서현동
8830e024d1fffff,11:40:00,8830e15361fffff,11,71.45,25.95,경기 성남시 분당구 야탑동
8830e024d1fffff,12:00:00,8830e024dbfffff,26,67.88,21.12,경기 성남시 분당구 서현동
8830e024d1fffff,12:20:00,8830e024dbfffff,33,59.97,19.4,경기 성남시 분당구 서현동
8830e024d1fffff,12:40:00,8830e024dbfffff,40,67.75,18.8,경기 성남시 분당구 서현동
8830e024d1fffff,13:00:00,8830e024dbfffff,42,61.74,18.52,경기 성남시 분당구 서현동
8830e024d1fffff,13:20:00,8830e024dbfffff,33,66.55,21.84,경기 성남시 분당구 서현동
8830e024d1fffff,13:20:00,8830e15361fffff,15,67.33,15.42,경기 성남시 분당구 야탑동
8830e024d1fffff,13:40:00,8830e024dbfffff,31,85.81,20.79,경기 성남시 분당구 서현동
8830e024d1fffff,13:40:00,8830e15361fffff,15,61.67,15.76,경기 성남시 분당구 야탑동
8830e024d1fffff,14:00:00,8830e024dbfffff,30,101.4,31.45,경기 성남시 분당구 서현동
8830e024d1fffff,14:00:00,8830e15361fffff,12,46.75,23.69,경기 성남시 분당구 야탑동
8830e024d1fffff,14:20:00,8830e024dbfffff,36,56.61,22.6,경기 성남시 분당구 서현동
8830e024d1fffff,14:20:00,8830e15361fffff,14,44.79,20.73,경기 성남시 분당구 야탑동
8830e024d1fffff,14:40:00,8830e024dbfffff,41,67.07,23.98,경기 성남시 분당구 서현동
8830e024d1fffff,14:40:00,8830e15361fffff,10,53.2,20.01,경기 성남시 분당구 야탑동
8830e024d1fffff,15:00:00,8830e024dbfffff,31,58.61,20.43,경기 성남시 분당구 서현동
8830e024d1fffff,15:00:00,8830e15361fffff,10,91.6,28.48,경기 성남시 분당구 야탑동
8830e024d1fffff,15:20:00,8830e024dbfffff,40,60.18,16.55,경기 성남시 분당구 서현동
8830e024d1fffff,15:20:00,8830e15361fffff,20,66.0,19.35,경기 성남시 분당구 야탑동
8830e024d1fffff,15:40:00,8830e024dbfffff,34,63.91,22.15,경기 성남시 분당구 서현동
8830e024d1fffff,15:40:00,8830e15361fffff,13,59.31,28.52,경기 성남시 분당구 야탑동
8830e024d1fffff,16:00:00,8830e024dbfffff,27,61.81,18.9,경기 성남시 분당구 서현동
8830e024d1fffff,16:00:00,8830e15361fffff,29,142.62,20.46,경기 성남시 분당구 야탑동
8830e024d1fffff,16:20:00,8830e024dbfffff,22,61.64,22.97,경기 성남시 분당구 서현동
8830e024d1fffff,16:20:00,8830e15361fffff,19,54.63,24.07,경기 성남시 분당구 야탑동
8830e024d1fffff,16:40:00,8830e024dbfffff,30,67.67,24.87,경기 성남시 분당구 서현동
8830e024d1fffff,16:40:00,8830e15361fffff,20,47.5,19.66,경기 성남시 분당구 야탑동
8830e024d1fffff,17:00:00,8830e024dbfffff,31,57.74,22.8,경기 성남시 분당구 서현동
8830e024d1fffff,17:00:00,8830e15361fffff,16,48.44,24.5,경기 성남시 분당구 야탑동
8830e024d1fffff,17:20:00,8830e024dbfffff,22,61.05,18.48,경기 성남시 분당구 서현동
8830e024d1fffff,17:20:00,8830e15361fffff,21,48.62,20.6,경기 성남시 분당구 야탑동
8830e024d1fffff,17:40:00,8830e024dbfffff,32,53.03,17.8,경기 성남시 분당구 서현동
8830e024d1fffff,18:00:00,8830e024dbfffff,23,54.43,14.54,경기 성남시 분당구 서현동
8830e024d1fffff,18:00:00,8830e15361fffff,15,55.93,20.65,경기 성남시 분당구 야탑동
8830e024d1fffff,18:20:00,8830e024dbfffff,15,75.4,21.71,경기 성남시 분당구 서현동
8830e024d1fffff,18:40:00,8830e024dbfffff,27,67.41,20.29,경기 성남시 분당구 서현동
8830e024d1fffff,19:00:00,8830e024dbfffff,28,78.04,24.88,경기 성남시 분당구 서현동
8830e024d1fffff,19:00:00,8830e15361fffff,13,141.08,28.24,경기 성남시 분당구 야탑동
8830e024d1fffff,19:20:00,8830e024dbfffff,15,72.47,19.39,경기 성남시 분당구 서현동
8830e024d1fffff,19:40:00,8830e024dbfffff,25,70.44,37.87,경기 성남시 분당구 서현동
8830e024d1fffff,20:00:00,8830e024dbfffff,34,68.26,19.39,경기 성남시 분당구 서현동
8830e024d1fffff,20:20:00,8830e024dbfffff,28,94.93,19.67,경기 성남시 분당구 서현동
8830e024d1fffff,20:40:00,8830e024dbfffff,28,79.39,28.28,경기 성남시 분당구 서현동
8830e024d1fffff,21:00:00,8830e024dbfffff,21,69.29,25.97,경기 성남시 분당구 서현동
8830e024d1fffff,21:20:00,8830e024dbfffff,36,61.78,18.97,경기 성남시 분당구 서현동
8830e024d1fffff,21:40:00,8830e024dbfffff,25,60.68,14.06,경기 성남시 분당구 서현동
8830e024d1fffff,22:00:00,8830e024dbfffff,21,91.71,29.66,경기 성남시 분당구 서현동
8830e024d1fffff,22:20:00,8830e024dbfffff,21,58.9,19.06,경기 성남시 분당구 서현동
8830e024d1fffff,22:40:00,8830e024dbfffff,17,58.53,17.31,경기 성남시 분당구 서현동
8830e024d1fffff,23:00:00,8830e024dbfffff,22,49.45,22.07,경기 성남시 분당구 서현동
8830e024d1fffff,23:20:00,8830e024dbfffff,12,36.75,25.48,경기 성남시 분당구 서현동
8830e024d3fffff,0:00:00,8830e024dbfffff,13,101.15,22.46,경기 성남시 분당구 서현동
8830e024d3fffff,8:00:00,8830e024dbfffff,11,80.0,29.24,경기 성남시 분당구 서현동
8830e024d3fffff,8:40:00,8830e024dbfffff,10,83.0,19.69,경기 성남시 분당구 서현동
8830e024d3fffff,9:20:00,8830e024dbfffff,10,59.2,20.82,경기 성남시 분당구 서현동
8830e024d3fffff,9:40:00,8830e024dbfffff,10,72.5,21.95,경기 성남시 분당구 서현동
8830e024d3fffff,10:00:00,8830e024dbfffff,14,85.29,23.57,경기 성남시 분당구 서현동
8830e024d3fffff,10:20:00,8830e024dbfffff,16,58.13,24.78,경기 성남시 분당구 서현동
8830e024d3fffff,10:40:00,8830e024dbfffff,19,65.68,25.15,경기 성남시 분당구 서현동
8830e024d3fffff,11:20:00,8830e024dbfffff,15,70.07,19.41,경기 성남시 분당구 서현동
8830e024d3fffff,11:40:00,8830e024dbfffff,20,63.55,14.93,경기 성남시 분당구 서현동
8830e024d3fffff,12:20:00,8830e024dbfffff,13,63.23,21.83,경기 성남시 분당구 서현동
8830e024d3fffff,12:40:00,8830e024dbfffff,18,159.56,28.41,경기 성남시 분당구 서현동
8830e024d3fffff,13:00:00,8830e024dbfffff,19,66.16,26.2,경기 성남시 분당구 서현동
