time,vehicle_id,start_node,end_node,route_nodes,route_names,real_distance,cost,objectives,total_real_distance
00:00 ~ 00:59,0,15,15,15 -> 15,Depot_Gimpo_Airport -> Depot_Gimpo_Airport,0,0,76000,0
01:00 ~ 01:59,0,15,15,15 -> 15,Depot_Gimpo_Airport -> Depot_Gimpo_Airport,0,0,76000,0
02:00 ~ 02:59,0,15,15,15 -> 15,Depot_Gimpo_Airport -> Depot_Gimpo_Airport,0,0,76000,0
03:00 ~ 03:59,0,15,15,15 -> 15,Depot_Gimpo_Airport -> Depot_Gimpo_Airport,0,0,76000,0
04:00 ~ 04:59,0,15,15,15 -> 8 -> 2 -> 15,Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> Depot_Gimpo_Airport,11702,7752,75752,11702
05:00 ~ 05:59,0,15,15,15 -> 15,Depot_Gimpo_Airport -> Depot_Gimpo_Airport,0,0,76000,0
06:00 ~ 06:59,0,15,15,15 -> 15,Depot_Gimpo_Airport -> Depot_Gimpo_Airport,0,0,76000,0
07:00 ~ 07:59,0,15,15,15 -> 8 -> 2 -> 15,Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> Depot_Gimpo_Airport,11702,7320,75320,11702
08:00 ~ 08:59,0,15,15,15 -> 15,Depot_Gimpo_Airport -> Depot_Gimpo_Airport,0,0,76000,0
09:00 ~ 09:59,0,15,15,15 -> 8 -> 15,Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> Depot_Gimpo_Airport,6398,3734,75734,6398
10:00 ~ 10:59,0,15,15,15 -> 8 -> 15,Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> Depot_Gimpo_Airport,6398,3567,75567,6398
11:00 ~ 11:59,0,15,15,15 -> 8 -> 2 -> 15,Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> Depot_Gimpo_Airport,11702,6445,74445,11702
12:00 ~ 12:59,0,15,15,15 -> 15,Depot_Gimpo_Airport -> Depot_Gimpo_Airport,0,0,76000,0
13:00 ~ 13:59,0,15,15,15 -> 15,Depot_Gimpo_Airport -> Depot_Gimpo_Airport,0,0,76000,0
14:00 ~ 14:59,0,15,15,15 -> 15,Depot_Gimpo_Airport -> Depot_Gimpo_Airport,0,0,76000,0
15:00 ~ 15:59,0,15,15,15 -> 15,Depot_Gimpo_Airport -> Depot_Gimpo_Airport,0,0,76000,0
16:00 ~ 16:59,0,15,15,15 -> 15,Depot_Gimpo_Airport -> Depot_Gimpo_Airport,0,0,76000,0
17:00 ~ 17:59,0,15,15,15 -> 8 -> 15,Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> Depot_Gimpo_Airport,6398,3938,75938,6398
18:00 ~ 18:59,0,15,15,15 -> 15,Depot_Gimpo_Airport -> Depot_Gimpo_Airport,0,0,76000,0
19:00 ~ 19:59,0,15,15,15 -> 8 -> 15,Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> Depot_Gimpo_Airport,6398,3629,75629,6398
20:00 ~ 20:59,0,15,15,15 -> 8 -> 2 -> 15,Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> Depot_Gimpo_Airport,11702,7351,75351,11702
21:00 ~ 21:59,0,15,15,15 -> 8 -> 15,Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> Depot_Gimpo_Airport,6398,3775,75775,6398
22:00 ~ 22:59,0,15,15,15 -> 8 -> 15,Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> Depot_Gimpo_Airport,6398,3954,75954,6398
23:00 ~ 23:59,0,15,15,15 -> 8 -> 15,Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> Depot_Gimpo_Airport,6398,3994,75994,6398
