time,vehicle_id,step,from_node,from_name,to_node,to_name,real_distance,cost,efficiency,total_real_distance,total_spent_time,objectives
00:00 ~ 00:59,0,0,17,Depot_Kintex,6,서울 양천구 신정동,97,94,0.9690721649484536,97,1,92746
00:00 ~ 00:59,0,1,6,서울 양천구 신정동,7,서울 구로구 구로동,950,933,0.9808978032473734,1047,11,92746
00:00 ~ 00:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,916,0.9247977153736316,2101,22,92746
00:00 ~ 00:59,0,3,1,서울 강서구 화곡동,18,Depot_Gwang_Myeong,3359,3396,0.9778388278388278,5460,59,92746
00:00 ~ 00:59,0,4,18,Depot_Gwang_Myeong,12,경기 부천시 중동,10190,9291,0.9348242811501597,15650,173,92746
00:00 ~ 00:59,0,5,12,경기 부천시 중동,13,인천 계양구 계산동,3472,2992,0.9215563225604017,19122,212,92746
00:00 ~ 00:59,0,6,13,인천 계양구 계산동,3,경기 부천시 오정동,4411,4235,0.9287808609187099,23533,261,92746
00:00 ~ 00:59,0,7,3,경기 부천시 오정동,15,Depot_Gimpo_Airport,6589,2050,0.7936723989110949,30122,335,92746
00:00 ~ 00:59,0,8,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3120,0.8111101107409742,33321,370,92746
00:00 ~ 00:59,0,9,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4460,0.8274511865030353,38053,423,92746
00:00 ~ 00:59,0,10,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3838,0.8441061913068413,41849,465,92746
00:00 ~ 00:59,0,11,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1421,0.849520286672061,43255,480,92746
01:00 ~ 01:59,0,0,17,Depot_Kintex,6,서울 양천구 신정동,97,94,0.9690721649484536,97,1,98329
01:00 ~ 01:59,0,1,6,서울 양천구 신정동,7,서울 구로구 구로동,950,960,1.0066857688634192,1047,11,98329
01:00 ~ 01:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1008,0.9814374107567825,2101,22,98329
01:00 ~ 01:59,0,3,1,서울 강서구 화곡동,18,Depot_Gwang_Myeong,3359,3396,0.9996336996336996,5460,59,98329
01:00 ~ 01:59,0,4,18,Depot_Gwang_Myeong,15,Depot_Gimpo_Airport,10204,3175,0.5511363636363636,15664,173,98329
01:00 ~ 01:59,0,5,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3112,0.6226475110003711,18863,208,98329
01:00 ~ 01:59,0,6,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4325,0.6810764992583175,23595,261,98329
01:00 ~ 01:59,0,7,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3838,0.7268080756452849,27391,303,98329
01:00 ~ 01:59,0,8,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1421,0.7406674306351356,28797,318,98329
02:00 ~ 02:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1421,1.0106685633001422,1406,15,99840
02:00 ~ 02:59,0,1,9,서울 양천구 목동_1,15,Depot_Gimpo_Airport,6491,2020,0.435735089274408,7897,88,99840
02:00 ~ 02:59,0,2,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3137,0.5928262436914203,11096,123,99840
02:00 ~ 02:59,0,3,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4314,0.6881475865554714,15828,176,99840
02:00 ~ 02:59,0,4,2,서울 양천구 목동,18,Depot_Gwang_Myeong,6513,6586,0.7823284544111723,22341,249,99840
02:00 ~ 02:59,0,5,18,Depot_Gwang_Myeong,1,서울 강서구 화곡동,3359,3276,0.8075486381322957,25700,286,99840
02:00 ~ 02:59,0,6,1,서울 강서구 화곡동,7,서울 구로구 구로동,1054,1065,0.8155416012558869,26754,297,99840
02:00 ~ 02:59,0,7,7,서울 구로구 구로동,6,서울 양천구 신정동,950,923,0.8208922899220329,27704,307,99840
02:00 ~ 02:59,0,8,6,서울 양천구 신정동,17,Depot_Kintex,97,98,0.8215531815402324,27801,308,99840
03:00 ~ 03:59,0,0,17,Depot_Kintex,6,서울 양천구 신정동,97,91,0.9381443298969072,97,1,93482
03:00 ~ 03:59,0,1,6,서울 양천구 신정동,7,서울 구로구 구로동,950,960,1.0038204393505252,1047,11,93482
03:00 ~ 03:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1022,0.9866730128510233,2101,22,93482
03:00 ~ 03:59,0,3,1,서울 강서구 화곡동,18,Depot_Gwang_Myeong,3359,3396,1.0016483516483516,5460,59,93482
03:00 ~ 03:59,0,4,18,Depot_Gwang_Myeong,12,경기 부천시 중동,10190,9836,0.9779552715654952,15650,173,93482
03:00 ~ 03:59,0,5,12,경기 부천시 중동,13,인천 계양구 계산동,3472,3214,0.9684656416692815,19122,212,93482
03:00 ~ 03:59,0,6,13,인천 계양구 계산동,3,경기 부천시 오정동,4411,4338,0.9712743806569498,23533,261,93482
03:00 ~ 03:59,0,7,3,경기 부천시 오정동,15,Depot_Gimpo_Airport,6589,2050,0.826870725715424,30122,335,93482
03:00 ~ 03:59,0,8,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3128,0.8413613036823625,33321,370,93482
03:00 ~ 03:59,0,9,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4188,0.8467926313299872,38053,423,93482
03:00 ~ 03:59,0,10,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3838,0.8616932304236661,41849,465,93482
03:00 ~ 03:59,0,11,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1421,0.8665356606172697,43255,480,93482
04:00 ~ 04:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1421,1.0106685633001422,1406,15,95285
04:00 ~ 04:59,0,1,9,서울 양천구 목동_1,8,서울 강서구 등촌동,5290,4922,0.9472819593787336,6696,74,95285
04:00 ~ 04:59,0,2,8,서울 강서구 등촌동,3,경기 부천시 오정동,9736,8899,0.9275803310613437,16432,183,95285
04:00 ~ 04:59,0,3,3,경기 부천시 오정동,12,경기 부천시 중동,3120,3052,0.9356587561374795,19552,218,95285
04:00 ~ 04:59,0,4,12,경기 부천시 중동,13,인천 계양구 계산동,3472,2964,0.9232974287699791,23024,257,95285
04:00 ~ 04:59,0,5,13,인천 계양구 계산동,15,Depot_Gimpo_Airport,9980,3106,0.7382135498727427,33004,369,95285
04:00 ~ 04:59,0,6,15,Depot_Gimpo_Airport,2,서울 양천구 목동,3771,2975,0.7434126444595514,36775,411,95285
04:00 ~ 04:59,0,7,2,서울 양천구 목동,18,Depot_Gwang_Myeong,6513,6586,0.7837044908519682,43288,484,95285
04:00 ~ 04:59,0,8,18,Depot_Gwang_Myeong,1,서울 강서구 화곡동,3359,3303,0.7980791905160032,46647,521,95285
04:00 ~ 04:59,0,9,1,서울 강서구 화곡동,7,서울 구로구 구로동,1054,1036,0.8021634766566739,47701,532,95285
04:00 ~ 04:59,0,10,7,서울 구로구 구로동,6,서울 양천구 신정동,950,923,0.8054716244270416,48651,542,95285
04:00 ~ 04:59,0,11,6,서울 양천구 신정동,17,Depot_Kintex,97,98,0.8058792155575614,48748,543,95285
05:00 ~ 05:59,0,0,17,Depot_Kintex,6,서울 양천구 신정동,97,94,0.9690721649484536,97,1,92848
05:00 ~ 05:59,0,1,6,서울 양천구 신정동,7,서울 구로구 구로동,950,931,0.9789875835721108,1047,11,92848
05:00 ~ 05:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1008,0.9676344597810567,2101,22,92848
05:00 ~ 05:59,0,3,1,서울 강서구 화곡동,18,Depot_Gwang_Myeong,3359,3396,0.9943223443223443,5460,59,92848
05:00 ~ 05:59,0,4,18,Depot_Gwang_Myeong,2,서울 양천구 목동,6513,5241,0.8911718032239205,11973,132,92848
05:00 ~ 05:59,0,5,2,서울 양천구 목동,12,경기 부천시 중동,7076,6904,0.9225681138117486,19049,211,92848
05:00 ~ 05:59,0,6,12,경기 부천시 중동,13,인천 계양구 계산동,3472,3014,0.9141689978242529,22521,250,92848
