time,vehicle_id,start_node,end_node,route_nodes,route_names,real_distance,cost,objectives,total_spent_time,total_real_distance
00:00 ~ 00:59,0,17,17,17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 11 -> 4 -> 0 -> 10 -> 14 -> 19 -> 15 -> 3 -> 13 -> 12 -> 2 -> 8 -> 9 -> 17,Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 안양시 만안구 안양동 -> 경기 수원시 영통구 원천동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall -> Depot_Incheon_Airport -> Depot_Gimpo_Airport -> 경기 부천시 오정동 -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 서울 양천구 목동 -> 서울 강서구 등촌동 -> 서울 양천구 목동_1 -> Depot_Kintex,183212,102082,102082,2051,183212
01:00 ~ 01:59,0,17,17,17 -> 6 -> 7 -> 1 -> 2 -> 3 -> 13 -> 12 -> 18 -> 16 -> 5 -> 11 -> 4 -> 0 -> 10 -> 14 -> 19 -> 15 -> 8 -> 9 -> 17,Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> 서울 양천구 목동 -> 경기 부천시 오정동 -> 인천 계양구 계산동 -> 경기 부천시 중동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 안양시 만안구 안양동 -> 경기 수원시 영통구 원천동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall -> Depot_Incheon_Airport -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동_1 -> Depot_Kintex,187292,108124,108124,2096,187292
02:00 ~ 02:59,0,17,17,17 -> 9 -> 2 -> 8 -> 19 -> 15 -> 3 -> 12 -> 13 -> 11 -> 4 -> 0 -> 10 -> 14 -> 5 -> 16 -> 18 -> 1 -> 7 -> 6 -> 17,Depot_Kintex -> 서울 양천구 목동_1 -> 서울 양천구 목동 -> 서울 강서구 등촌동 -> Depot_Incheon_Airport -> Depot_Gimpo_Airport -> 경기 부천시 오정동 -> 경기 부천시 중동 -> 인천 계양구 계산동 -> 경기 안양시 만안구 안양동 -> 경기 수원시 영통구 원천동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye -> Depot_Gwang_Myeong -> 서울 강서구 화곡동 -> 서울 구로구 구로동 -> 서울 양천구 신정동 -> Depot_Kintex,182117,122919,122919,2039,182117
03:00 ~ 03:59,0,17,17,17 -> 2 -> 12 -> 3 -> 13 -> 19 -> 15 -> 8 -> 9 -> 7 -> 1 -> 18 -> 11 -> 4 -> 0 -> 10 -> 14 -> 5 -> 16 -> 6 -> 17,Depot_Kintex -> 서울 양천구 목동 -> 경기 부천시 중동 -> 경기 부천시 오정동 -> 인천 계양구 계산동 -> Depot_Incheon_Airport -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동_1 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> 경기 안양시 만안구 안양동 -> 경기 수원시 영통구 원천동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye -> 서울 양천구 신정동 -> Depot_Kintex,168940,119815,119815,1889,168940
04:00 ~ 04:59,0,17,17,17 -> 9 -> 8 -> 3 -> 12 -> 13 -> 19 -> 15 -> 2 -> 7 -> 1 -> 18 -> 11 -> 4 -> 0 -> 10 -> 14 -> 5 -> 16 -> 6 -> 17,Depot_Kintex -> 서울 양천구 목동_1 -> 서울 강서구 등촌동 -> 경기 부천시 오정동 -> 경기 부천시 중동 -> 인천 계양구 계산동 -> Depot_Incheon_Airport -> Depot_Gimpo_Airport -> 서울 양천구 목동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> 경기 안양시 만안구 안양동 -> 경기 수원시 영통구 원천동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye -> 서울 양천구 신정동 -> Depot_Kintex,170020,117765,117765,1902,170020
05:00 ~ 05:59,0,17,17,17 -> 2 -> 12 -> 3 -> 13 -> 19 -> 15 -> 8 -> 9 -> 7 -> 1 -> 18 -> 11 -> 4 -> 0 -> 10 -> 14 -> 5 -> 16 -> 6 -> 17,Depot_Kintex -> 서울 양천구 목동 -> 경기 부천시 중동 -> 경기 부천시 오정동 -> 인천 계양구 계산동 -> Depot_Incheon_Airport -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동_1 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> 경기 안양시 만안구 안양동 -> 경기 수원시 영통구 원천동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye -> 서울 양천구 신정동 -> Depot_Kintex,168940,117316,117316,1889,168940
06:00 ~ 06:59,0,17,17,17 -> 6 -> 7 -> 1 -> 2 -> 3 -> 13 -> 12 -> 18 -> 5 -> 16 -> 11 -> 4 -> 0 -> 10 -> 14 -> 19 -> 15 -> 8 -> 9 -> 17,Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> 서울 양천구 목동 -> 경기 부천시 오정동 -> 인천 계양구 계산동 -> 경기 부천시 중동 -> Depot_Gwang_Myeong -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye -> 경기 안양시 만안구 안양동 -> 경기 수원시 영통구 원천동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall -> Depot_Incheon_Airport -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동_1 -> Depot_Kintex,189058,107371,107371,2115,189058
07:00 ~ 07:59,0,17,17,17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 11 -> 4 -> 0 -> 10 -> 14 -> 19 -> 15 -> 3 -> 13 -> 12 -> 2 -> 8 -> 9 -> 17,Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 안양시 만안구 안양동 -> 경기 수원시 영통구 원천동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall -> Depot_Incheon_Airport -> Depot_Gimpo_Airport -> 경기 부천시 오정동 -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 서울 양천구 목동 -> 서울 강서구 등촌동 -> 서울 양천구 목동_1 -> Depot_Kintex,183212,102101,102101,2051,183212
08:00 ~ 08:59,0,17,17,17 -> 6 -> 7 -> 1 -> 18 -> 16 -> 5 -> 11 -> 4 -> 0 -> 10 -> 14 -> 19 -> 13 -> 12 -> 3 -> 15 -> 8 -> 2 -> 9 -> 17,Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 안양시 만안구 안양동 -> 경기 수원시 영통구 원천동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall -> Depot_Incheon_Airport -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 경기 부천시 오정동 -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex,167605,99331,99331,1875,167605
09:00 ~ 09:59,0,17,17,17 -> 6 -> 7 -> 1 -> 18 -> 11 -> 16 -> 5 -> 10 -> 14 -> 0 -> 4 -> 19 -> 13 -> 12 -> 3 -> 15 -> 8 -> 2 -> 9 -> 17,Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Depot_Gwang_Myeong -> 경기 안양시 만안구 안양동 -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall -> 경기 성남시 분당구 서현동 -> 경기 수원시 영통구 원천동 -> Depot_Incheon_Airport -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 경기 부천시 오정동 -> Depot_Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Depot_Kintex,166702,94288,94288,1865,166702
