time,vehicle_id,start_node,end_node,route_nodes,route_names,real_distance,cost,objectives
00:00 ~ 00:59,0,17,17,17 -> 6 -> 1 -> 7 -> 9 -> 17,Depot_Kintex -> 서울 양천구 신정동 -> 서울 강서구 화곡동 -> 서울 구로구 구로동 -> 서울 양천구 목동_1 -> Depot_Kintex,6872,6561,59061
01:00 ~ 01:59,0,17,17,17 -> 9 -> 1 -> 7 -> 6 -> 17,Depot_Kintex -> 서울 양천구 목동_1 -> 서울 강서구 화곡동 -> 서울 구로구 구로동 -> 서울 양천구 신정동 -> Depot_Kintex,6910,6695,59195
02:00 ~ 02:59,0,17,17,17 -> 9 -> 1 -> 7 -> 6 -> 17,Depot_Kintex -> 서울 양천구 목동_1 -> 서울 강서구 화곡동 -> 서울 구로구 구로동 -> 서울 양천구 신정동 -> Depot_Kintex,6910,6752,59252
03:00 ~ 03:59,0,17,17,17 -> 9 -> 7 -> 1 -> 6 -> 17,Depot_Kintex -> 서울 양천구 목동_1 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> 서울 양천구 신정동 -> Depot_Kintex,6872,6704,59204
04:00 ~ 04:59,0,17,17,17 -> 9 -> 7 -> 1 -> 6 -> 17,Depot_Kintex -> 서울 양천구 목동_1 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> 서울 양천구 신정동 -> Depot_Kintex,6872,6703,59203
05:00 ~ 05:59,0,17,17,17 -> 9 -> 1 -> 7 -> 6 -> 17,Depot_Kintex -> 서울 양천구 목동_1 -> 서울 강서구 화곡동 -> 서울 구로구 구로동 -> 서울 양천구 신정동 -> Depot_Kintex,6910,6658,59158
06:00 ~ 06:59,0,17,17,17 -> 9 -> 1 -> 7 -> 6 -> 17,Depot_Kintex -> 서울 양천구 목동_1 -> 서울 강서구 화곡동 -> 서울 구로구 구로동 -> 서울 양천구 신정동 -> Depot_Kintex,6910,6681,59181
07:00 ~ 07:59,0,17,17,17 -> 9 -> 7 -> 1 -> 6 -> 17,Depot_Kintex -> 서울 양천구 목동_1 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> 서울 양천구 신정동 -> Depot_Kintex,6872,6666,59166
08:00 ~ 08:59,0,17,17,17 -> 9 -> 7 -> 1 -> 6 -> 17,Depot_Kintex -> 서울 양천구 목동_1 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> 서울 양천구 신정동 -> Depot_Kintex,6872,6672,59172
09:00 ~ 09:59,0,17,17,17 -> 9 -> 1 -> 7 -> 6 -> 17,Depot_Kintex -> 서울 양천구 목동_1 -> 서울 강서구 화곡동 -> 서울 구로구 구로동 -> 서울 양천구 신정동 -> Depot_Kintex,6910,6683,59183
10:00 ~ 10:59,0,17,17,17 -> 9 -> 7 -> 1 -> 6 -> 17,Depot_Kintex -> 서울 양천구 목동_1 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> 서울 양천구 신정동 -> Depot_Kintex,6872,6595,59095
11:00 ~ 11:59,0,17,17,17 -> 9 -> 8 -> 15 -> 2 -> 1 -> 7 -> 6 -> 17,Depot_Kintex -> 서울 양천구 목동_1 -> 서울 강서구 등촌동 -> Depot_Gimpo_Airport -> 서울 양천구 목동 -> 서울 강서구 화곡동 -> 서울 구로구 구로동 -> 서울 양천구 신정동 -> Depot_Kintex,19696,14427,56427
12:00 ~ 12:59,0,17,17,17 -> 9 -> 7 -> 1 -> 6 -> 17,Depot_Kintex -> 서울 양천구 목동_1 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> 서울 양천구 신정동 -> Depot_Kintex,6872,6717,59217
13:00 ~ 13:59,0,17,17,17 -> 9 -> 7 -> 1 -> 6 -> 17,Depot_Kintex -> 서울 양천구 목동_1 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> 서울 양천구 신정동 -> Depot_Kintex,6872,6605,59105
