time,vehicle_id,step,from_node,from_name,to_node,to_name,real_distance,cost,efficiency,total_real_distance,objectives
00:00 ~ 00:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,76258
00:00 ~ 00:59,0,1,9,서울 양천구 목동_1,15,Depot_Gimpo_Airport,6491,1947,0.42459161706977333,7897,76258
00:00 ~ 00:59,0,2,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3085,0.5802090843547224,11096,76258
00:00 ~ 00:59,0,3,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4407,0.6851781652767248,15828,76258
00:00 ~ 00:59,0,4,2,서울 양천구 목동,1,서울 강서구 화곡동,3929,3375,0.7197449005415802,19757,76258
00:00 ~ 00:59,0,5,1,서울 강서구 화곡동,7,서울 구로구 구로동,1054,1025,0.7325452885493249,20811,76258
00:00 ~ 00:59,0,6,7,서울 구로구 구로동,6,서울 양천구 신정동,950,916,0.7426588851615274,21761,76258
00:00 ~ 00:59,0,7,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.7438008966968616,21858,76258
01:00 ~ 01:59,0,0,17,Depot_Kintex,6,서울 양천구 신정동,97,93,0.9587628865979382,97,76491
01:00 ~ 01:59,0,1,6,서울 양천구 신정동,7,서울 구로구 구로동,950,950,0.9961795606494747,1047,76491
01:00 ~ 01:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,997,0.9709662065683008,2101,76491
01:00 ~ 01:59,0,3,1,서울 강서구 화곡동,2,서울 양천구 목동,3929,3547,0.9265339966832504,6030,76491
01:00 ~ 01:59,0,4,2,서울 양천구 목동,15,Depot_Gimpo_Airport,3771,1131,0.685440261197837,9801,76491
01:00 ~ 01:59,0,5,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3077,0.7534615384615385,13000,76491
01:00 ~ 01:59,0,6,8,서울 강서구 등촌동,9,서울 양천구 목동_1,5290,5290,0.8247676325861126,18290,76491
01:00 ~ 01:59,0,7,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1406,0.8372766043866775,19696,76491
02:00 ~ 02:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,76569
02:00 ~ 02:59,0,1,9,서울 양천구 목동_1,15,Depot_Gimpo_Airport,6491,1947,0.42459161706977333,7897,76569
02:00 ~ 02:59,0,2,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3102,0.5817411679884643,11096,76569
02:00 ~ 02:59,0,3,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4261,0.6770280515542078,15828,76569
02:00 ~ 02:59,0,4,2,서울 양천구 목동,1,서울 강서구 화곡동,3929,3789,0.734170167535557,19757,76569
02:00 ~ 02:59,0,5,1,서울 강서구 화곡동,7,서울 구로구 구로동,1054,1054,0.7476334630724136,20811,76569
02:00 ~ 02:59,0,6,7,서울 구로구 구로동,6,서울 양천구 신정동,950,913,0.7569505077891641,21761,76569
02:00 ~ 02:59,0,7,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.7580290968981609,21858,76569
03:00 ~ 03:59,0,0,17,Depot_Kintex,6,서울 양천구 신정동,97,90,0.9278350515463918,97,76404
03:00 ~ 03:59,0,1,6,서울 양천구 신정동,7,서울 구로구 구로동,950,950,0.9933142311365807,1047,76404
03:00 ~ 03:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1011,0.9762018086625417,2101,76404
03:00 ~ 03:59,0,3,1,서울 강서구 화곡동,2,서울 양천구 목동,3929,3433,0.909452736318408,6030,76404
03:00 ~ 03:59,0,4,2,서울 양천구 목동,15,Depot_Gimpo_Airport,3771,1131,0.6749311294765841,9801,76404
03:00 ~ 03:59,0,5,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3093,0.7467692307692307,13000,76404
03:00 ~ 03:59,0,6,8,서울 강서구 등촌동,9,서울 양천구 목동_1,5290,5290,0.8200109349371241,18290,76404
03:00 ~ 03:59,0,7,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1406,0.832859463850528,19696,76404
04:00 ~ 04:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,1.0,1406,75829
04:00 ~ 04:59,0,1,9,서울 양천구 목동_1,15,Depot_Gimpo_Airport,6491,1947,0.42459161706977333,7897,75829
04:00 ~ 04:59,0,2,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,2941,0.5672314347512617,11096,75829
04:00 ~ 04:59,0,3,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,3680,0.6301491028556988,15828,75829
04:00 ~ 04:59,0,4,2,서울 양천구 목동,1,서울 강서구 화곡동,3929,3820,0.698182922508478,19757,75829
04:00 ~ 04:59,0,5,1,서울 강서구 화곡동,7,서울 구로구 구로동,1054,1025,0.712075344769593,20811,75829
04:00 ~ 04:59,0,6,7,서울 구로구 구로동,6,서울 양천구 신정동,950,913,0.7229447176140802,21761,75829
04:00 ~ 04:59,0,7,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.7241742153902462,21858,75829
05:00 ~ 05:59,0,0,17,Depot_Kintex,6,서울 양천구 신정동,97,93,0.9587628865979382,97,75489
05:00 ~ 05:59,0,1,6,서울 양천구 신정동,7,서울 구로구 구로동,950,921,0.9684813753581661,1047,75489
05:00 ~ 05:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,997,0.957163255592575,2101,75489
05:00 ~ 05:59,0,3,1,서울 강서구 화곡동,18,Depot_Gwang_Myeong,3359,3359,0.9835164835164835,5460,75489
05:00 ~ 05:59,0,4,18,Depot_Gwang_Myeong,15,Depot_Gimpo_Airport,10204,3061,0.5382405515832482,15664,75489
05:00 ~ 05:59,0,5,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3102,0.6114085776387638,18863,75489
05:00 ~ 05:59,0,6,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,3754,0.647891502436957,23595,75489
05:00 ~ 05:59,0,7,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.6966886933664342,27391,75489
05:00 ~ 05:59,0,8,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1406,0.7114977254575129,28797,75489
06:00 ~ 06:59,0,0,17,Depot_Kintex,6,서울 양천구 신정동,97,94,0.9690721649484536,97,76740
06:00 ~ 06:59,0,1,6,서울 양천구 신정동,7,서울 구로구 구로동,950,918,0.9665711556829035,1047,76740
06:00 ~ 06:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1002,0.9585911470728224,2101,76740
06:00 ~ 06:59,0,3,1,서울 강서구 화곡동,2,서울 양천구 목동,3929,3789,0.9623548922056385,6030,76740
06:00 ~ 06:59,0,4,2,서울 양천구 목동,15,Depot_Gimpo_Airport,3771,1131,0.7074788286909499,9801,76740
06:00 ~ 06:59,0,5,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3110,0.7726153846153846,13000,76740
