time,vehicle_id,step,from_node,from_name,to_node,to_name,real_distance,cost,efficiency,total_real_distance,total_spent_time,objectives
00:00 ~ 00:59,0,0,17,Depot_Kintex,6,서울 양천구 신정동,97,94,0.9690721649484536,97,1,97865
00:00 ~ 00:59,0,1,6,서울 양천구 신정동,7,서울 구로구 구로동,950,933,0.9808978032473734,1047,11,97865
00:00 ~ 00:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,916,0.9247977153736316,2101,22,97865
00:00 ~ 00:59,0,3,1,서울 강서구 화곡동,18,Depot_Gwang_Myeong,3359,3396,0.9778388278388278,5460,59,97865
00:00 ~ 00:59,0,4,18,Depot_Gwang_Myeong,11,경기 안양시 만안구 안양동,13694,13434,0.980108593505273,19154,213,97865
00:00 ~ 00:59,0,5,11,경기 안양시 만안구 안양동,16,Depot_Beom_Gye,5143,5200,0.9866650203728855,24297,270,97865
00:00 ~ 00:59,0,6,16,Depot_Beom_Gye,5,경기 안양시 동안구 평촌동,1560,1534,0.9864640136133349,25857,287,97865
00:00 ~ 00:59,0,7,5,경기 안양시 동안구 평촌동,0,경기 성남시 분당구 서현동,12912,12701,0.9855296757718796,38769,432,97865
00:00 ~ 00:59,0,8,0,경기 성남시 분당구 서현동,10,경기 성남시 분당구 야탑동,1240,1161,0.9840035991901822,40009,445,97865
00:00 ~ 00:59,0,9,10,경기 성남시 분당구 야탑동,14,Depot_Bundang_Townhall,1683,1701,0.985081070709009,41692,463,97865
00:00 ~ 00:59,0,10,14,Depot_Bundang_Townhall,19,Depot_Incheon_Airport,60723,6755,0.466972611433872,102415,1146,97865
00:00 ~ 00:59,0,11,19,Depot_Incheon_Airport,15,Depot_Gimpo_Airport,34348,10690,0.4278569496135651,136763,1532,97865
00:00 ~ 00:59,0,12,15,Depot_Gimpo_Airport,3,경기 부천시 오정동,6589,6326,0.4523201629555221,143352,1606,97865
00:00 ~ 00:59,0,13,3,경기 부천시 오정동,13,인천 계양구 계산동,4411,3801,0.4645411909612014,147763,1655,97865
00:00 ~ 00:59,0,14,13,인천 계양구 계산동,12,경기 부천시 중동,3472,3166,0.4748107250305815,151235,1694,97865
00:00 ~ 00:59,0,15,12,경기 부천시 중동,2,서울 양천구 목동,7076,6670,0.49572044898964696,158311,1773,97865
00:00 ~ 00:59,0,16,2,서울 양천구 목동,8,서울 강서구 등촌동,4732,4617,0.5096508283090964,163043,1826,97865
00:00 ~ 00:59,0,17,8,서울 강서구 등촌동,9,서울 양천구 목동_1,5290,5349,0.5254109414078048,168333,1885,97865
00:00 ~ 00:59,0,18,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1421,0.5294304785582571,169739,1900,97865
01:00 ~ 01:59,0,0,17,Depot_Kintex,6,서울 양천구 신정동,97,94,0.9690721649484536,97,1,102934
01:00 ~ 01:59,0,1,6,서울 양천구 신정동,7,서울 구로구 구로동,950,960,1.0066857688634192,1047,11,102934
01:00 ~ 01:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1008,0.9814374107567825,2101,22,102934
01:00 ~ 01:59,0,3,1,서울 강서구 화곡동,2,서울 양천구 목동,3929,3591,0.9374792703150913,6030,66,102934
01:00 ~ 01:59,0,4,2,서울 양천구 목동,3,경기 부천시 오정동,8518,8378,0.9644624690679131,14548,161,102934
01:00 ~ 01:59,0,5,3,경기 부천시 오정동,13,인천 계양구 계산동,4411,3783,0.9396065193311883,18959,210,102934
01:00 ~ 01:59,0,6,13,인천 계양구 계산동,12,경기 부천시 중동,3472,3342,0.9431590209977264,22431,249,102934
01:00 ~ 01:59,0,7,12,경기 부천시 중동,18,Depot_Gwang_Myeong,10190,10304,0.9644094295085988,32621,363,102934
01:00 ~ 01:59,0,8,18,Depot_Gwang_Myeong,11,경기 안양시 만안구 안양동,13694,13848,0.9782575839360899,46315,517,102934
01:00 ~ 01:59,0,9,11,경기 안양시 만안구 안양동,16,Depot_Beom_Gye,5143,5200,0.9815383419487738,51458,574,102934
01:00 ~ 01:59,0,10,16,Depot_Beom_Gye,5,경기 안양시 동안구 평촌동,1560,1529,0.9814968501263722,53018,591,102934
01:00 ~ 01:59,0,11,5,경기 안양시 동안구 평촌동,0,경기 성남시 분당구 서현동,12912,12667,0.9814045199453967,65930,736,102934
01:00 ~ 01:59,0,12,0,경기 성남시 분당구 서현동,10,경기 성남시 분당구 야탑동,1240,1202,0.981182075331249,67170,749,102934
01:00 ~ 01:59,0,13,10,경기 성남시 분당구 야탑동,14,Depot_Bundang_Townhall,1683,1701,0.9819034755203114,68853,767,102934
01:00 ~ 01:59,0,14,14,Depot_Bundang_Townhall,19,Depot_Incheon_Airport,60723,6755,0.5738871395937519,129576,1450,102934
01:00 ~ 01:59,0,15,19,Depot_Incheon_Airport,15,Depot_Gimpo_Airport,34348,10690,0.5188501988726483,163924,1836,102934
01:00 ~ 01:59,0,16,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3112,0.5275395965845515,167123,1871,102934
01:00 ~ 01:59,0,17,8,서울 강서구 등촌동,9,서울 양천구 목동_1,5290,5349,0.5423778949383167,172413,1930,102934
01:00 ~ 01:59,0,18,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1421,0.5461658391775353,173819,1945,102934
02:00 ~ 02:59,0,0,17,Depot_Kintex,6,서울 양천구 신정동,97,94,0.9690721649484536,97,1,101726
02:00 ~ 02:59,0,1,6,서울 양천구 신정동,7,서울 구로구 구로동,950,960,1.0066857688634192,1047,11,101726
02:00 ~ 02:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1027,0.9904807234650167,2101,22,101726
02:00 ~ 02:59,0,3,1,서울 강서구 화곡동,18,Depot_Gwang_Myeong,3359,3396,1.003113553113553,5460,59,101726
02:00 ~ 02:59,0,4,18,Depot_Gwang_Myeong,12,경기 부천시 중동,10190,9969,0.9869648562300319,15650,173,101726
02:00 ~ 02:59,0,5,12,경기 부천시 중동,13,인천 계양구 계산동,3472,3182,0.9741658822298923,19122,212,101726
02:00 ~ 02:59,0,6,13,인천 계양구 계산동,3,경기 부천시 오정동,4411,4338,0.975906174308418,23533,261,101726
