time,vehicle_id,step,from_node,from_name,to_node,to_name,real_distance,cost,efficiency,total_real_distance,total_spent_time,objectives
00:00 ~ 00:59,0,0,17,Depot_Kintex,6,서울 양천구 신정동,97,94,0.9690721649484536,97,1,102082
00:00 ~ 00:59,0,1,6,서울 양천구 신정동,7,서울 구로구 구로동,950,933,0.9808978032473734,1047,11,102082
00:00 ~ 00:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,916,0.9247977153736316,2101,22,102082
00:00 ~ 00:59,0,3,1,서울 강서구 화곡동,18,Depot_Gwang_Myeong,3359,3396,0.9778388278388278,5460,59,102082
00:00 ~ 00:59,0,4,18,Depot_Gwang_Myeong,16,Depot_Beom_Gye,11482,11611,1.0004721992680912,16942,188,102082
00:00 ~ 00:59,0,5,16,Depot_Beom_Gye,5,경기 안양시 동안구 평촌동,1560,1534,0.9990271322019241,18502,205,102082
00:00 ~ 00:59,0,6,5,경기 안양시 동안구 평촌동,11,경기 안양시 만안구 안양동,4936,4842,0.9952214352760475,23438,260,102082
00:00 ~ 00:59,0,7,11,경기 안양시 만안구 안양동,4,경기 수원시 영통구 원천동,17188,15673,0.9599517550337222,40626,453,102082
00:00 ~ 00:59,0,8,4,경기 수원시 영통구 원천동,0,경기 성남시 분당구 서현동,11616,11426,0.9652195551471996,52242,583,102082
00:00 ~ 00:59,0,9,0,경기 성남시 분당구 서현동,10,경기 성남시 분당구 야탑동,1240,1161,0.9645488201637934,53482,596,102082
00:00 ~ 00:59,0,10,10,경기 성남시 분당구 야탑동,14,Depot_Bundang_Townhall,1683,1701,0.9659566754282607,55165,614,102082
00:00 ~ 00:59,0,11,14,Depot_Bundang_Townhall,19,Depot_Incheon_Airport,60723,6755,0.5181036863178241,115888,1297,102082
00:00 ~ 00:59,0,12,19,Depot_Incheon_Airport,15,Depot_Gimpo_Airport,34348,10690,0.4708059320003195,150236,1683,102082
00:00 ~ 00:59,0,13,15,Depot_Gimpo_Airport,3,경기 부천시 오정동,6589,6326,0.49136298421807745,156825,1757,102082
00:00 ~ 00:59,0,14,3,경기 부천시 오정동,13,인천 계양구 계산동,4411,3801,0.5014947034161106,161236,1806,102082
00:00 ~ 00:59,0,15,13,인천 계양구 계산동,12,경기 부천시 중동,3472,3166,0.5101452267042281,164708,1845,102082
00:00 ~ 00:59,0,16,12,경기 부천시 중동,2,서울 양천구 목동,7076,6670,0.527959530573278,171784,1924,102082
00:00 ~ 00:59,0,17,2,서울 양천구 목동,8,서울 강서구 등촌동,4732,4617,0.5399623830134379,176516,1977,102082
00:00 ~ 00:59,0,18,8,서울 강서구 등촌동,9,서울 양천구 목동_1,5290,5349,0.5536725960639363,181806,2036,102082
00:00 ~ 00:59,0,19,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1421,0.5571796607209135,183212,2051,102082
01:00 ~ 01:59,0,0,17,Depot_Kintex,6,서울 양천구 신정동,97,94,0.9690721649484536,97,1,108124
01:00 ~ 01:59,0,1,6,서울 양천구 신정동,7,서울 구로구 구로동,950,960,1.0066857688634192,1047,11,108124
01:00 ~ 01:59,0,2,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1008,0.9814374107567825,2101,22,108124
01:00 ~ 01:59,0,3,1,서울 강서구 화곡동,2,서울 양천구 목동,3929,3591,0.9374792703150913,6030,66,108124
01:00 ~ 01:59,0,4,2,서울 양천구 목동,3,경기 부천시 오정동,8518,8378,0.9644624690679131,14548,161,108124
01:00 ~ 01:59,0,5,3,경기 부천시 오정동,13,인천 계양구 계산동,4411,3783,0.9396065193311883,18959,210,108124
01:00 ~ 01:59,0,6,13,인천 계양구 계산동,12,경기 부천시 중동,3472,3342,0.9431590209977264,22431,249,108124
01:00 ~ 01:59,0,7,12,경기 부천시 중동,18,Depot_Gwang_Myeong,10190,10304,0.9644094295085988,32621,363,108124
01:00 ~ 01:59,0,8,18,Depot_Gwang_Myeong,16,Depot_Beom_Gye,11482,11611,0.9766002312767839,44103,492,108124
01:00 ~ 01:59,0,9,16,Depot_Beom_Gye,5,경기 안양시 동안구 평촌동,1560,1529,0.9767207586010556,45663,509,108124
01:00 ~ 01:59,0,10,5,경기 안양시 동안구 평촌동,11,경기 안양시 만안구 안양동,4936,4991,0.9800786576809818,50599,564,108124
01:00 ~ 01:59,0,11,11,경기 안양시 만안구 안양동,4,경기 수원시 영통구 원천동,17188,16908,0.9809993066517179,67787,757,108124
01:00 ~ 01:59,0,12,4,경기 수원시 영통구 원천동,0,경기 성남시 분당구 서현동,11616,11395,0.9809956802639699,79403,887,108124
01:00 ~ 01:59,0,13,0,경기 성남시 분당구 서현동,10,경기 성남시 분당구 야탑동,1240,1202,0.9808166858871817,80643,900,108124
01:00 ~ 01:59,0,14,10,경기 성남시 분당구 야탑동,14,Depot_Bundang_Townhall,1683,1701,0.9814274955664067,82326,918,108124
01:00 ~ 01:59,0,15,14,Depot_Bundang_Townhall,19,Depot_Incheon_Airport,60723,6755,0.612042027556991,143049,1601,108124
01:00 ~ 01:59,0,16,19,Depot_Incheon_Airport,15,Depot_Gimpo_Airport,34348,10690,0.5537974148379059,177397,1987,108124
01:00 ~ 01:59,0,17,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3112,0.5612195175972889,180596,2022,108124
01:00 ~ 01:59,0,18,8,서울 강서구 등촌동,9,서울 양천구 목동_1,5290,5349,0.5740238640887425,185886,2081,108124
01:00 ~ 01:59,0,19,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1421,0.5773017534117848,187292,2096,108124
02:00 ~ 02:59,0,0,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1421,1.0106685633001422,1406,15,122919
02:00 ~ 02:59,0,1,9,서울 양천구 목동_1,2,서울 양천구 목동,3796,3460,0.9382929642445214,5202,57,122919
02:00 ~ 02:59,0,2,2,서울 양천구 목동,8,서울 강서구 등촌동,4732,4642,0.9586269377894101,9934,110,122919
02:00 ~ 02:59,0,3,8,서울 강서구 등촌동,19,Depot_Incheon_Airport,37449,4165,0.2888799780511998,47383,531,122919
02:00 ~ 02:59,0,4,19,Depot_Incheon_Airport,15,Depot_Gimpo_Airport,34348,10690,0.2982711578226132,81731,917,122919
02:00 ~ 02:59,0,5,15,Depot_Gimpo_Airport,3,경기 부천시 오정동,6589,6481,0.34939990942028987,88320,991,122919
02:00 ~ 02:59,0,6,3,경기 부천시 오정동,12,경기 부천시 중동,3120,3052,0.3708552055993001,91440,1026,122919
02:00 ~ 02:59,0,7,12,경기 부천시 중동,13,인천 계양구 계산동,3472,3182,0.39081464935940663,94912,1065,122919
02:00 ~ 02:59,0,8,13,인천 계양구 계산동,11,경기 안양시 만안구 안양동,23476,23740,0.5138443085447849,118388,1329,122919
02:00 ~ 02:59,0,9,11,경기 안양시 만안구 안양동,4,경기 수원시 영통구 원천동,17188,16681,0.571738360771818,135576,1522,122919
02:00 ~ 02:59,0,10,4,경기 수원시 영통구 원천동,0,경기 성남시 분당구 서현동,11616,11364,0.6038235773683353,147192,1652,122919
02:00 ~ 02:59,0,11,0,경기 성남시 분당구 서현동,10,경기 성남시 분당구 야탑동,1240,1196,0.6068368006898782,148432,1665,122919
02:00 ~ 02:59,0,12,10,경기 성남시 분당구 야탑동,14,Depot_Bundang_Townhall,1683,1701,0.6113646204576492,150115,1683,122919
02:00 ~ 02:59,0,13,14,Depot_Bundang_Townhall,5,경기 안양시 동안구 평촌동,13500,12594,0.6378938361397183,163615,1834,122919
02:00 ~ 02:59,0,14,5,경기 안양시 동안구 평촌동,16,Depot_Beom_Gye,1560,1577,0.641416679279552,165175,1851,122919
02:00 ~ 02:59,0,15,16,Depot_Beom_Gye,18,Depot_Gwang_Myeong,11482,11611,0.6654533927328099,176657,1980,122919
02:00 ~ 02:59,0,16,18,Depot_Gwang_Myeong,1,서울 강서구 화곡동,3359,3276,0.6712347791307439,180016,2017,122919
02:00 ~ 02:59,0,17,1,서울 강서구 화곡동,7,서울 구로구 구로동,1054,1065,0.6732092560888054,181070,2028,122919
02:00 ~ 02:59,0,18,7,서울 구로구 구로동,6,서울 양천구 신정동,950,923,0.674766509174816,182020,2038,122919
02:00 ~ 02:59,0,19,6,서울 양천구 신정동,17,Depot_Kintex,97,98,0.6749452275185732,182117,2039,122919
03:00 ~ 03:59,0,0,17,Depot_Kintex,2,서울 양천구 목동,3801,3363,0.8847671665351223,3801,42,119815
03:00 ~ 03:59,0,1,2,서울 양천구 목동,12,경기 부천시 중동,7076,6830,0.9371150133308817,10877,121,119815
