time,vehicle_id,start_node,end_node,route_nodes,route_names,real_distance,cost,objectives
00:00 ~ 00:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,3077,66077
01:00 ~ 01:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,3072,66072
02:00 ~ 02:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,2997,65997
03:00 ~ 03:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,2975,65975
04:00 ~ 04:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,2957,65957
05:00 ~ 05:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,2900,65900
06:00 ~ 06:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,2817,65817
07:00 ~ 07:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,3052,66052
08:00 ~ 08:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,3068,66068
09:00 ~ 09:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,3052,66052
10:00 ~ 10:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,3048,66048
11:00 ~ 11:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,3044,66044
12:00 ~ 12:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,2983,65983
13:00 ~ 13:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,3016,66016
14:00 ~ 14:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,2940,65940
15:00 ~ 15:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,3072,66072
16:00 ~ 16:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,3077,66077
17:00 ~ 17:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,3013,66013
18:00 ~ 18:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,3072,66072
19:00 ~ 19:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,3077,66077
20:00 ~ 20:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,3020,66020
21:00 ~ 21:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,2983,65983
22:00 ~ 22:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,3001,66001
23:00 ~ 23:59,0,16,16,16 -> 5 -> 16,Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Depot_Beom_Gye,3120,3048,66048
