time,vehicle_id,step,from_node,from_name,to_node,to_name,real_distance,cost,efficiency,total_real_distance,objectives
00:00 ~ 00:59,0,0,18,Depot_Gwang_Myeong,15,Depot_Gimpo_Airport,10204,3061,0.29998039984319874,10204,76035
00:00 ~ 00:59,0,1,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3085,0.45855405506229946,13403,76035
00:00 ~ 00:59,0,2,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4407,0.5819134270747174,18135,76035
00:00 ~ 00:59,0,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.6542793306278784,21931,76035
00:00 ~ 00:59,0,4,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1406,0.6751081972832841,23337,76035
00:00 ~ 00:59,0,5,17,Depot_Kintex,6,서울 양천구 신정동,97,93,0.6762823248271742,23434,76035
00:00 ~ 00:59,0,6,6,서울 양천구 신정동,7,서울 구로구 구로동,950,923,0.6877870734908137,24384,76035
00:00 ~ 00:59,0,7,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,905,0.6948659485808633,25438,76035
00:00 ~ 00:59,0,8,1,서울 강서구 화곡동,18,Depot_Gwang_Myeong,3359,3359,0.7304580338229677,28797,76035
01:00 ~ 01:59,0,0,18,Depot_Gwang_Myeong,15,Depot_Gimpo_Airport,10204,3061,0.29998039984319874,10204,76011
01:00 ~ 01:59,0,1,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3077,0.45795717376706707,13403,76011
01:00 ~ 01:59,0,2,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4272,0.5740281224152192,18135,76011
01:00 ~ 01:59,0,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.6477588801240254,21931,76011
01:00 ~ 01:59,0,4,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1406,0.6689805887646227,23337,76011
01:00 ~ 01:59,0,5,17,Depot_Kintex,6,서울 양천구 신정동,97,93,0.6701800802253136,23434,76011
01:00 ~ 01:59,0,6,6,서울 양천구 신정동,7,서울 구로구 구로동,950,950,0.6830298556430446,24384,76011
01:00 ~ 01:59,0,7,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,997,0.6939224781822471,25438,76011
01:00 ~ 01:59,0,8,1,서울 강서구 화곡동,18,Depot_Gwang_Myeong,3359,3359,0.7296246136750356,28797,76011
02:00 ~ 02:59,0,0,18,Depot_Gwang_Myeong,15,Depot_Gimpo_Airport,10204,3061,0.29998039984319874,10204,76044
02:00 ~ 02:59,0,1,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3102,0.45982242781466837,13403,76044
02:00 ~ 02:59,0,2,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4261,0.5748001102839813,18135,76044
02:00 ~ 02:59,0,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.6483972459076194,21931,76044
02:00 ~ 02:59,0,4,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1406,0.6695804944937224,23337,76044
02:00 ~ 02:59,0,5,17,Depot_Kintex,6,서울 양천구 신정동,97,93,0.6707775027737476,23434,76044
02:00 ~ 02:59,0,6,6,서울 양천구 신정동,7,서울 구로구 구로동,950,950,0.6836040026246719,24384,76044
02:00 ~ 02:59,0,7,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1016,0.6952197499803444,25438,76044
02:00 ~ 02:59,0,8,1,서울 강서구 화곡동,18,Depot_Gwang_Myeong,3359,3359,0.7307705663784422,28797,76044
03:00 ~ 03:59,0,0,18,Depot_Gwang_Myeong,15,Depot_Gimpo_Airport,10204,3061,0.29998039984319874,10204,75901
03:00 ~ 03:59,0,1,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3093,0.4591509363575319,13403,75901
03:00 ~ 03:59,0,2,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4135,0.56735594154949,18135,75901
03:00 ~ 03:59,0,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.6422415758515344,21931,75901
03:00 ~ 03:59,0,4,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1406,0.6637956892488324,23337,75901
03:00 ~ 03:59,0,5,17,Depot_Kintex,6,서울 양천구 신정동,97,90,0.6648886233677562,23434,75901
03:00 ~ 03:59,0,6,6,서울 양천구 신정동,7,서울 구로구 구로동,950,950,0.6779445538057742,24384,75901
03:00 ~ 03:59,0,7,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1011,0.689598238855256,25438,75901
03:00 ~ 03:59,0,8,1,서울 강서구 화곡동,18,Depot_Gwang_Myeong,3359,3359,0.7258047713303469,28797,75901
04:00 ~ 04:59,0,0,18,Depot_Gwang_Myeong,15,Depot_Gimpo_Airport,10204,3061,0.29998039984319874,10204,75284
