time,vehicle_id,step,from_node,from_name,to_node,to_name,real_distance,cost,efficiency,total_real_distance,objectives
00:00 ~ 00:59,0,0,18,Depot_Gwang_Myeong,1,서울 강서구 화곡동,3359,2885,0.858886573384936,3359,66281
00:00 ~ 00:59,0,1,1,서울 강서구 화곡동,7,서울 구로구 구로동,1054,1025,0.8860185814638568,4413,66281
00:00 ~ 00:59,0,2,7,서울 구로구 구로동,6,서울 양천구 신정동,950,916,0.8998694760395302,5363,66281
00:00 ~ 00:59,0,3,6,서울 양천구 신정동,17,Depot_Kintex,97,97,0.9016483516483517,5460,66281
00:00 ~ 00:59,0,4,17,Depot_Kintex,9,서울 양천구 목동_1,1406,1406,0.9217885231575881,6866,66281
00:00 ~ 00:59,0,5,9,서울 양천구 목동_1,15,Depot_Gimpo_Airport,6491,1947,0.6196002096279105,13357,66281
00:00 ~ 00:59,0,6,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3085,0.6862164774100025,16556,66281
00:00 ~ 00:59,0,7,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4407,0.7406989853438557,21288,66281
00:00 ~ 00:59,0,8,2,서울 양천구 목동,18,Depot_Gwang_Myeong,6513,6513,0.8014459911513975,27801,66281
01:00 ~ 01:59,0,0,18,Depot_Gwang_Myeong,15,Depot_Gimpo_Airport,10204,3061,0.29998039984319874,10204,65011
01:00 ~ 01:59,0,1,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3077,0.45795717376706707,13403,65011
01:00 ~ 01:59,0,2,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4272,0.5740281224152192,18135,65011
01:00 ~ 01:59,0,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.6477588801240254,21931,65011
01:00 ~ 01:59,0,4,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1406,0.6689805887646227,23337,65011
01:00 ~ 01:59,0,5,17,Depot_Kintex,6,서울 양천구 신정동,97,93,0.6701800802253136,23434,65011
01:00 ~ 01:59,0,6,6,서울 양천구 신정동,7,서울 구로구 구로동,950,950,0.6830298556430446,24384,65011
01:00 ~ 01:59,0,7,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,997,0.6939224781822471,25438,65011
01:00 ~ 01:59,0,8,1,서울 강서구 화곡동,18,Depot_Gwang_Myeong,3359,3359,0.7296246136750356,28797,65011
02:00 ~ 02:59,0,0,18,Depot_Gwang_Myeong,15,Depot_Gimpo_Airport,10204,3061,0.29998039984319874,10204,65044
02:00 ~ 02:59,0,1,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3102,0.45982242781466837,13403,65044
02:00 ~ 02:59,0,2,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4261,0.5748001102839813,18135,65044
02:00 ~ 02:59,0,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.6483972459076194,21931,65044
02:00 ~ 02:59,0,4,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1406,0.6695804944937224,23337,65044
02:00 ~ 02:59,0,5,17,Depot_Kintex,6,서울 양천구 신정동,97,93,0.6707775027737476,23434,65044
02:00 ~ 02:59,0,6,6,서울 양천구 신정동,7,서울 구로구 구로동,950,950,0.6836040026246719,24384,65044
02:00 ~ 02:59,0,7,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1016,0.6952197499803444,25438,65044
02:00 ~ 02:59,0,8,1,서울 강서구 화곡동,18,Depot_Gwang_Myeong,3359,3359,0.7307705663784422,28797,65044
03:00 ~ 03:59,0,0,18,Depot_Gwang_Myeong,15,Depot_Gimpo_Airport,10204,3061,0.29998039984319874,10204,64901
