time,vehicle_id,step,from_node,from_name,to_node,to_name,real_distance,cost,efficiency,total_real_distance,objectives
00:00 ~ 00:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0,0,73308
00:00 ~ 00:59,0,1,19,Incheon_Airport,21,Depot_Gimpo_Airport,34348,10304,0.29998835448934436,34348,73308
00:00 ~ 00:59,0,2,21,Depot_Gimpo_Airport,15,Gimpo_Airport,0,0,0.29998835448934436,34348,73308
00:00 ~ 00:59,0,3,15,Gimpo_Airport,2,서울 양천구 목동,3771,3512,0.36244392560140615,38119,73308
00:00 ~ 00:59,0,4,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.4201837051174997,41915,73308
00:00 ~ 00:59,0,5,9,서울 양천구 목동_1,17,Kintex,1406,1367,0.4381016135361603,43321,73308
00:00 ~ 00:59,0,6,17,Kintex,23,Depot_Kintex,0,0,0.4381016135361603,43321,73308
00:00 ~ 00:59,0,7,23,Depot_Kintex,6,서울 양천구 신정동,97,93,0.4392648210419642,43418,73308
00:00 ~ 00:59,0,8,6,서울 양천구 신정동,7,서울 구로구 구로동,950,923,0.4506626397403534,44368,73308
00:00 ~ 00:59,0,9,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,905,0.4601294526881247,45422,73308
00:00 ~ 00:59,0,10,1,서울 강서구 화곡동,18,Gwang_Myeong,3359,3153,0.4930813226461122,48781,73308
00:00 ~ 00:59,0,11,18,Gwang_Myeong,24,Depot_Gwang_Myeong,0,0,0.4930813226461122,48781,73308
00:00 ~ 00:59,0,12,24,Depot_Gwang_Myeong,25,Depot_Incheon_Airport,37550,3755,0.32210909175151453,86331,73308
01:00 ~ 01:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0,0,73342
01:00 ~ 01:59,0,1,19,Incheon_Airport,21,Depot_Gimpo_Airport,34348,10304,0.29998835448934436,34348,73342
01:00 ~ 01:59,0,2,21,Depot_Gimpo_Airport,15,Gimpo_Airport,0,0,0.29998835448934436,34348,73342
01:00 ~ 01:59,0,3,15,Gimpo_Airport,2,서울 양천구 목동,3771,3404,0.3596106928303471,38119,73342
01:00 ~ 01:59,0,4,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.4176070619110104,41915,73342
01:00 ~ 01:59,0,5,9,서울 양천구 목동_1,17,Kintex,1406,1356,0.43535467786985527,43321,73342
01:00 ~ 01:59,0,6,17,Kintex,23,Depot_Kintex,0,0,0.43535467786985527,43321,73342
01:00 ~ 01:59,0,7,23,Depot_Kintex,6,서울 양천구 신정동,97,93,0.4365240222949007,43418,73342
01:00 ~ 01:59,0,8,6,서울 양천구 신정동,7,서울 구로구 구로동,950,950,0.4485890732059142,44368,73342
01:00 ~ 01:59,0,9,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,997,0.4601294526881247,45422,73342
01:00 ~ 01:59,0,10,1,서울 강서구 화곡동,18,Gwang_Myeong,3359,3187,0.49377831532768907,48781,73342
01:00 ~ 01:59,0,11,18,Gwang_Myeong,24,Depot_Gwang_Myeong,0,0,0.49377831532768907,48781,73342
01:00 ~ 01:59,0,12,24,Depot_Gwang_Myeong,25,Depot_Incheon_Airport,37550,3755,0.32250292478947307,86331,73342
02:00 ~ 02:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0,0,84000
02:00 ~ 02:59,0,1,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.0,0,84000
03:00 ~ 03:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0,0,84000
03:00 ~ 03:59,0,1,19,Incheon_Airport,25,Depot_Incheon_Airport,0,0,0.0,0,84000
04:00 ~ 04:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0,0,72819
04:00 ~ 04:59,0,1,19,Incheon_Airport,21,Depot_Gimpo_Airport,34348,10304,0.29998835448934436,34348,72819
04:00 ~ 04:59,0,2,21,Depot_Gimpo_Airport,15,Gimpo_Airport,0,0,0.29998835448934436,34348,72819
04:00 ~ 04:59,0,3,15,Gimpo_Airport,2,서울 양천구 목동,3771,2933,0.3472546499121173,38119,72819
04:00 ~ 04:59,0,4,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.4063700345938208,41915,72819
04:00 ~ 04:59,0,5,9,서울 양천구 목동_1,17,Kintex,1406,1337,0.42404376630271695,43321,72819
04:00 ~ 04:59,0,6,17,Kintex,23,Depot_Kintex,0,0,0.42404376630271695,43321,72819
04:00 ~ 04:59,0,7,23,Depot_Kintex,6,서울 양천구 신정동,97,93,0.42523838039522777,43418,72819
04:00 ~ 04:59,0,8,6,서울 양천구 신정동,7,서울 구로구 구로동,950,923,0.4369365308330328,44368,72819
04:00 ~ 04:59,0,9,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1025,0.4493637444410198,45422,72819
04:00 ~ 04:59,0,10,1,서울 강서구 화곡동,18,Gwang_Myeong,3359,3153,0.483056927902257,48781,72819
04:00 ~ 04:59,0,11,18,Gwang_Myeong,24,Depot_Gwang_Myeong,0,0,0.483056927902257,48781,72819
04:00 ~ 04:59,0,12,24,Depot_Gwang_Myeong,25,Depot_Incheon_Airport,37550,3755,0.31644484599969885,86331,72819
05:00 ~ 05:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0,0,72891
05:00 ~ 05:59,0,1,19,Incheon_Airport,21,Depot_Gimpo_Airport,34348,10304,0.29998835448934436,34348,72891
05:00 ~ 05:59,0,2,21,Depot_Gimpo_Airport,15,Gimpo_Airport,0,0,0.29998835448934436,34348,72891
05:00 ~ 05:59,0,3,15,Gimpo_Airport,2,서울 양천구 목동,3771,2992,0.3488024344814922,38119,72891
05:00 ~ 05:59,0,4,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.40777764523440296,41915,72891
05:00 ~ 05:59,0,5,9,서울 양천구 목동_1,17,Kintex,1406,1363,0.4260058632072205,43321,72891
05:00 ~ 05:59,0,6,17,Kintex,23,Depot_Kintex,0,0,0.4260058632072205,43321,72891
05:00 ~ 05:59,0,7,23,Depot_Kintex,6,서울 양천구 신정동,97,93,0.4271960937859874,43418,72891
05:00 ~ 05:59,0,8,6,서울 양천구 신정동,7,서울 구로구 구로동,950,921,0.43880724846736385,44368,72891
05:00 ~ 05:59,0,9,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,997,0.450574611421778,45422,72891
