time,vehicle_id,start_node,end_node,route_nodes,route_names,real_distance,cost,total_real_distance,objectives
00:00 ~ 00:59,0,25,25,25 -> 19 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,90491,31788,37550,79788
01:00 ~ 01:59,0,25,25,25 -> 19 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,90491,31787,37550,79787
02:00 ~ 02:59,0,25,25,25 -> 19 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,90491,31773,37550,79773
03:00 ~ 03:59,0,25,25,25 -> 19 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,90491,31714,37550,79714
04:00 ~ 04:59,0,25,25,25 -> 19 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,90491,31007,37550,79007
05:00 ~ 05:59,0,25,25,25 -> 19 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,90491,31255,37550,79255
06:00 ~ 06:59,0,25,25,25 -> 19 -> 21 -> 15 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,86331,27867,37550,79867
07:00 ~ 07:59,0,25,25,25 -> 19 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,90491,30079,37550,78079
08:00 ~ 08:59,0,25,25,25 -> 19 -> 21 -> 15 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,86331,28174,37550,80174
09:00 ~ 09:59,0,25,25,25 -> 19 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,90491,30781,37550,78781
10:00 ~ 10:59,0,25,25,25 -> 19 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,90491,30738,37550,78738
11:00 ~ 11:59,0,25,25,25 -> 19 -> 13 -> 12 -> 3 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 16 -> 22 -> 5 -> 14 -> 20 -> 10 -> 0 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 경기 부천시 오정동 -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Beom_Gye -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Bundang_Townhall -> Depot_Bundang_Townhall -> 경기 성남시 분당구 야탑동 -> 경기 성남시 분당구 서현동 -> Depot_Incheon_Airport,146924,68539,60282,76539
12:00 ~ 12:59,0,25,25,25 -> 19 -> 13 -> 12 -> 3 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 경기 부천시 오정동 -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,94727,42078,37550,78078
13:00 ~ 13:59,0,25,25,25 -> 19 -> 13 -> 12 -> 3 -> 21 -> 15 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 경기 부천시 오정동 -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,90567,37643,37550,77643
14:00 ~ 14:59,0,25,25,25 -> 19 -> 13 -> 12 -> 3 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 16 -> 22 -> 5 -> 14 -> 20 -> 10 -> 0 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 경기 부천시 오정동 -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Beom_Gye -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> Bundang_Townhall -> Depot_Bundang_Townhall -> 경기 성남시 분당구 야탑동 -> 경기 성남시 분당구 서현동 -> Depot_Incheon_Airport,146924,65413,60282,73413
15:00 ~ 15:59,0,25,25,25 -> 19 -> 13 -> 12 -> 3 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 경기 부천시 오정동 -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,94727,43065,37550,79065
16:00 ~ 16:59,0,25,25,25 -> 19 -> 21 -> 15 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,86331,28176,37550,80176
17:00 ~ 17:59,0,25,25,25 -> 19 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,90491,31999,37550,79999
