time,vehicle_id,step,from_node,from_name,to_node,to_name,real_distance,cost,efficiency,total_real_distance,objectives
00:00 ~ 00:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0,0,79788
00:00 ~ 00:59,0,1,19,Incheon_Airport,21,Depot_Gimpo_Airport,34348,10304,0.29998835448934436,34348,79788
00:00 ~ 00:59,0,2,21,Depot_Gimpo_Airport,15,Gimpo_Airport,0,0,0.29998835448934436,34348,79788
00:00 ~ 00:59,0,3,15,Gimpo_Airport,8,서울 강서구 등촌동,3199,3085,0.3565930700189096,37547,79788
00:00 ~ 00:59,0,4,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4407,0.4209181863336408,42279,79788
00:00 ~ 00:59,0,5,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.46862723819858926,46075,79788
00:00 ~ 00:59,0,6,9,서울 양천구 목동_1,17,Kintex,1406,1367,0.4835407847349466,47481,79788
00:00 ~ 00:59,0,7,17,Kintex,23,Depot_Kintex,0,0,0.4835407847349466,47481,79788
00:00 ~ 00:59,0,8,23,Depot_Kintex,6,서울 양천구 신정동,97,93,0.4845096473159864,47578,79788
00:00 ~ 00:59,0,9,6,서울 양천구 신정동,7,서울 구로구 구로동,950,923,0.4940446752390373,48528,79788
00:00 ~ 00:59,0,10,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,905,0.5017950062522689,49582,79788
00:00 ~ 00:59,0,11,1,서울 강서구 화곡동,18,Gwang_Myeong,3359,3153,0.5295139872688465,52941,79788
00:00 ~ 00:59,0,12,18,Gwang_Myeong,24,Depot_Gwang_Myeong,0,0,0.5295139872688465,52941,79788
00:00 ~ 00:59,0,13,24,Depot_Gwang_Myeong,25,Depot_Incheon_Airport,37550,3755,0.35128355306052533,90491,79788
01:00 ~ 01:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0,0,79787
01:00 ~ 01:59,0,1,19,Incheon_Airport,21,Depot_Gimpo_Airport,34348,10304,0.29998835448934436,34348,79787
01:00 ~ 01:59,0,2,21,Depot_Gimpo_Airport,15,Gimpo_Airport,0,0,0.29998835448934436,34348,79787
01:00 ~ 01:59,0,3,15,Gimpo_Airport,8,서울 강서구 등촌동,3199,3077,0.3563800037286601,37547,79787
01:00 ~ 01:59,0,4,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4272,0.417535892523475,42279,79787
01:00 ~ 01:59,0,5,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.4655236028214867,46075,79787
01:00 ~ 01:59,0,6,9,서울 양천구 목동_1,17,Kintex,1406,1356,0.480297382110739,47481,79787
01:00 ~ 01:59,0,7,17,Kintex,23,Depot_Kintex,0,0,0.480297382110739,47481,79787
01:00 ~ 01:59,0,8,23,Depot_Kintex,6,서울 양천구 신정동,97,93,0.4812728572029089,47578,79787
01:00 ~ 01:59,0,9,6,서울 양천구 신정동,7,서울 구로구 구로동,950,950,0.49142762940982526,48528,79787
01:00 ~ 01:59,0,10,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,997,0.501089104917107,49582,79787
01:00 ~ 01:59,0,11,1,서울 강서구 화곡동,18,Gwang_Myeong,3359,3187,0.5294950983169944,52941,79787
01:00 ~ 01:59,0,12,18,Gwang_Myeong,24,Depot_Gwang_Myeong,0,0,0.5294950983169944,52941,79787
01:00 ~ 01:59,0,13,24,Depot_Gwang_Myeong,25,Depot_Incheon_Airport,37550,3755,0.3512725022377916,90491,79787
02:00 ~ 02:59,0,0,25,Depot_Incheon_Airport,19,Incheon_Airport,0,0,0.0,0,79773
02:00 ~ 02:59,0,1,19,Incheon_Airport,21,Depot_Gimpo_Airport,34348,10304,0.29998835448934436,34348,79773
02:00 ~ 02:59,0,2,21,Depot_Gimpo_Airport,15,Gimpo_Airport,0,0,0.29998835448934436,34348,79773
