time,vehicle_id,start_node,end_node,route_nodes,route_names,real_distance,cost,total_real_distance,objectives
00:00 ~ 00:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
01:00 ~ 01:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
02:00 ~ 02:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
03:00 ~ 03:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
04:00 ~ 04:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
05:00 ~ 05:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
06:00 ~ 06:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
07:00 ~ 07:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
08:00 ~ 08:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
09:00 ~ 09:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
10:00 ~ 10:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
11:00 ~ 11:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
12:00 ~ 12:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
13:00 ~ 13:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
14:00 ~ 14:59,0,25,25,25 -> 19 -> 21 -> 15 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,86331,27199,37550,66199
15:00 ~ 15:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
16:00 ~ 16:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
17:00 ~ 17:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
18:00 ~ 18:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
19:00 ~ 19:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
20:00 ~ 20:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
21:00 ~ 21:59,0,25,25,25 -> 19 -> 21 -> 15 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Depot_Incheon_Airport,86331,26944,37550,65944
22:00 ~ 22:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
23:00 ~ 23:59,0,25,25,25 -> 19 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Incheon_Airport,0,0,0,72000
