time,vehicle_id,step,from_node,from_name,to_node,to_name,real_distance,cost,efficiency,total_real_distance,objectives
00:00 ~ 00:59,0,0,19,Depot_Incheon_Airport,19,Depot_Incheon_Airport,0,0,0.0,0,92033
00:00 ~ 00:59,1,0,19,Depot_Incheon_Airport,15,Depot_Gimpo_Airport,34348,10304,0.29998835448934436,34348,92033
00:00 ~ 00:59,1,1,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3085,0.3565930700189096,37547,92033
00:00 ~ 00:59,1,2,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4407,0.4209181863336408,42279,92033
00:00 ~ 00:59,1,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.46862723819858926,46075,92033
00:00 ~ 00:59,1,4,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1406,0.48436216591899917,47481,92033
00:00 ~ 00:59,1,5,17,Depot_Kintex,6,서울 양천구 신정동,97,93,0.4853293539030644,47578,92033
00:00 ~ 00:59,1,6,6,서울 양천구 신정동,7,서울 구로구 구로동,950,923,0.49484833498186614,48528,92033
00:00 ~ 00:59,1,7,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,905,0.5025815820257351,49582,92033
00:00 ~ 00:59,1,8,1,서울 강서구 화곡동,18,Depot_Gwang_Myeong,3359,3359,0.5341417804726015,52941,92033
00:00 ~ 00:59,1,9,18,Depot_Gwang_Myeong,19,Depot_Incheon_Airport,37550,3755,0.3539910046302947,90491,92033
01:00 ~ 01:59,0,0,19,Depot_Incheon_Airport,19,Depot_Incheon_Airport,0,0,0.0,0,92009
01:00 ~ 01:59,1,0,19,Depot_Incheon_Airport,15,Depot_Gimpo_Airport,34348,10304,0.29998835448934436,34348,92009
01:00 ~ 01:59,1,1,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3077,0.3563800037286601,37547,92009
01:00 ~ 01:59,1,2,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4272,0.417535892523475,42279,92009
01:00 ~ 01:59,1,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.4655236028214867,46075,92009
01:00 ~ 01:59,1,4,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1406,0.4813504349108064,47481,92009
01:00 ~ 01:59,1,5,17,Depot_Kintex,6,서울 양천구 신정동,97,93,0.4823237630837782,47578,92009
01:00 ~ 01:59,1,6,6,서울 양천구 신정동,7,서울 구로구 구로동,950,950,0.492457962413452,48528,92009
01:00 ~ 01:59,1,7,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,997,0.5020975353959098,49582,92009
01:00 ~ 01:59,1,8,1,서울 강서구 화곡동,18,Depot_Gwang_Myeong,3359,3359,0.5336884456281521,52941,92009
01:00 ~ 01:59,1,9,18,Depot_Gwang_Myeong,19,Depot_Incheon_Airport,37550,3755,0.35372578488468465,90491,92009
02:00 ~ 02:59,0,0,19,Depot_Incheon_Airport,19,Depot_Incheon_Airport,0,0,0.0,0,92042
02:00 ~ 02:59,1,0,19,Depot_Incheon_Airport,15,Depot_Gimpo_Airport,34348,10304,0.29998835448934436,34348,92042
02:00 ~ 02:59,1,1,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3102,0.35704583588568994,37547,92042
02:00 ~ 02:59,1,2,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4261,0.41786702618321153,42279,92042
02:00 ~ 02:59,1,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.4658274552360282,46075,92042
02:00 ~ 02:59,1,4,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1406,0.4816452896948253,47481,92042
02:00 ~ 02:59,1,5,17,Depot_Kintex,6,서울 양천구 신정동,97,93,0.48261801673042165,47578,92042
02:00 ~ 02:59,1,6,6,서울 양천구 신정동,7,서울 구로구 구로동,950,950,0.4927464556544675,48528,92042
02:00 ~ 02:59,1,7,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1016,0.5027630995119197,49582,92042
02:00 ~ 02:59,1,8,1,서울 강서구 화곡동,18,Depot_Gwang_Myeong,3359,3359,0.5343117810392701,52941,92042
02:00 ~ 02:59,1,9,18,Depot_Gwang_Myeong,19,Depot_Incheon_Airport,37550,3755,0.3540904620348985,90491,92042
03:00 ~ 03:59,0,0,19,Depot_Incheon_Airport,19,Depot_Incheon_Airport,0,0,0.0,0,91899
03:00 ~ 03:59,1,0,19,Depot_Incheon_Airport,15,Depot_Gimpo_Airport,34348,10304,0.29998835448934436,34348,91899
03:00 ~ 03:59,1,1,15,Depot_Gimpo_Airport,8,서울 강서구 등촌동,3199,3093,0.3568061363091592,37547,91899
03:00 ~ 03:59,1,2,8,서울 강서구 등촌동,2,서울 양천구 목동,4732,4135,0.41467395160718085,42279,91899
03:00 ~ 03:59,1,3,2,서울 양천구 목동,9,서울 양천구 목동_1,3796,3796,0.46289744981009223,46075,91899
03:00 ~ 03:59,1,4,9,서울 양천구 목동_1,17,Depot_Kintex,1406,1406,0.4788020471346433,47481,91899
03:00 ~ 03:59,1,5,17,Depot_Kintex,6,서울 양천구 신정동,97,90,0.47971751649922234,47578,91899
03:00 ~ 03:59,1,6,6,서울 양천구 신정동,7,서울 구로구 구로동,950,950,0.48990273656445765,48528,91899
03:00 ~ 03:59,1,7,7,서울 구로구 구로동,1,서울 강서구 화곡동,1054,1011,0.4998789883425437,49582,91899
03:00 ~ 03:59,1,8,1,서울 강서구 화곡동,18,Depot_Gwang_Myeong,3359,3359,0.5316106609244253,52941,91899
03:00 ~ 03:59,1,9,18,Depot_Gwang_Myeong,19,Depot_Incheon_Airport,37550,3755,0.3525101943839719,90491,91899
04:00 ~ 04:59,0,0,19,Depot_Incheon_Airport,19,Depot_Incheon_Airport,0,0,0.0,0,90970
