time,vehicle_id,start_node,end_node,route_nodes,route_names,real_distance,cost,total_real_distance,objectives
00:00 ~ 00:59,0,25,25,25 -> 19 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 16 -> 22 -> 5 -> 0 -> 10 -> 14 -> 20 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Beom_Gye -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Bundang_Townhall -> Depot_Bundang_Townhall -> Depot_Incheon_Airport,142541,61157,60723,86157
01:00 ~ 01:59,0,25,25,25 -> 19 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 16 -> 22 -> 5 -> 0 -> 10 -> 20 -> 14 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Beom_Gye -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall -> Bundang_Townhall -> Depot_Incheon_Airport,142541,61430,60723,86430
02:00 ~ 02:59,0,25,25,25 -> 19 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 16 -> 22 -> 5 -> 0 -> 10 -> 20 -> 14 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Beom_Gye -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall -> Bundang_Townhall -> Depot_Incheon_Airport,142541,62016,60723,87016
03:00 ~ 03:59,0,25,25,25 -> 19 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 16 -> 22 -> 5 -> 0 -> 10 -> 20 -> 14 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Beom_Gye -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Depot_Bundang_Townhall -> Bundang_Townhall -> Depot_Incheon_Airport,142541,61846,60723,86846
04:00 ~ 04:59,0,25,25,25 -> 19 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 16 -> 22 -> 5 -> 0 -> 10 -> 14 -> 20 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Beom_Gye -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Bundang_Townhall -> Depot_Bundang_Townhall -> Depot_Incheon_Airport,142541,61205,60723,86205
05:00 ~ 05:59,0,25,25,25 -> 19 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 16 -> 22 -> 5 -> 0 -> 10 -> 14 -> 20 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Beom_Gye -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Bundang_Townhall -> Depot_Bundang_Townhall -> Depot_Incheon_Airport,142541,61158,60723,86158
06:00 ~ 06:59,0,25,25,25 -> 19 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 16 -> 22 -> 5 -> 0 -> 10 -> 14 -> 20 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Beom_Gye -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Bundang_Townhall -> Depot_Bundang_Townhall -> Depot_Incheon_Airport,142541,61972,60723,86972
07:00 ~ 07:59,0,25,25,25 -> 19 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 16 -> 22 -> 5 -> 0 -> 10 -> 14 -> 20 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Beom_Gye -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Bundang_Townhall -> Depot_Bundang_Townhall -> Depot_Incheon_Airport,142541,60299,60723,85299
08:00 ~ 08:59,0,25,25,25 -> 19 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 16 -> 22 -> 5 -> 0 -> 10 -> 14 -> 20 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Beom_Gye -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Bundang_Townhall -> Depot_Bundang_Townhall -> Depot_Incheon_Airport,142541,62395,60723,87395
09:00 ~ 09:59,0,25,25,25 -> 19 -> 13 -> 12 -> 3 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 16 -> 22 -> 5 -> 0 -> 10 -> 14 -> 20 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> 인천 계양구 계산동 -> 경기 부천시 중동 -> 경기 부천시 오정동 -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Beom_Gye -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Bundang_Townhall -> Depot_Bundang_Townhall -> Depot_Incheon_Airport,146777,72504,60723,82504
10:00 ~ 10:59,0,25,25,25 -> 19 -> 21 -> 15 -> 8 -> 2 -> 9 -> 17 -> 23 -> 6 -> 7 -> 1 -> 18 -> 24 -> 16 -> 22 -> 5 -> 0 -> 10 -> 14 -> 20 -> 25,Depot_Incheon_Airport -> Incheon_Airport -> Depot_Gimpo_Airport -> Gimpo_Airport -> 서울 강서구 등촌동 -> 서울 양천구 목동 -> 서울 양천구 목동_1 -> Kintex -> Depot_Kintex -> 서울 양천구 신정동 -> 서울 구로구 구로동 -> 서울 강서구 화곡동 -> Gwang_Myeong -> Depot_Gwang_Myeong -> Beom_Gye -> Depot_Beom_Gye -> 경기 안양시 동안구 평촌동 -> 경기 성남시 분당구 서현동 -> 경기 성남시 분당구 야탑동 -> Bundang_Townhall -> Depot_Bundang_Townhall -> Depot_Incheon_Airport,142541,60131,60723,85131
